Date,Open,High,Low,Close,Volume
2024-12-23,221.795,223.95,221.14,223.45,28111338
2024-12-24,222.61,226.065,221.19,222.72,54561121
2024-12-25,224.625,227.875,224.57,227.48,42137691
2024-12-26,227.17,228.66,226.405,226.96,38328824
2024-12-27,225.0,225.7,221.5,224.23,42005602
2024-12-28,224.55,225.59,223.355,224.23,40398299
2024-12-29,224.01,226.65,222.76,225.12,48566217
2024-12-30,225.02,228.87,225.0,228.22,44923941
2024-12-31,226.4,226.92,224.27,225.0,47923696
2025-01-01,225.25,229.74,225.17,228.02,44686020
2025-01-02,226.98,230.16,226.66,228.28,36211774
2025-01-03,228.06,229.93,225.89,229.0,35169566
2025-01-04,228.88,230.155,225.7103,228.52,42108327
2025-01-05,228.06,230.7199,228.06,229.87,38168252
2025-01-06,231.46,233.245,229.74,232.87,90152832
2025-01-07,233.33,235.57,233.33,235.06,45986189
2025-01-08,234.465,235.69,233.8101,234.93,33498439
2025-01-09,234.81,237.81,233.97,237.33,28481377
2025-01-10,237.27,240.79,237.16,239.59,48137103
2025-01-11,239.81,242.76,238.9,242.65,38861017
2025-01-12,242.87,244.11,241.25,243.01,44383935
2025-01-13,243.99,244.54,242.13,243.04,40033878
2025-01-14,242.905,244.63,242.08,242.84,36870619
2025-01-15,241.83,247.24,241.75,246.75,44649232
2025-01-16,246.89,248.21,245.34,247.77,36914806
2025-01-17,247.96,250.8,246.2601,246.49,45205814
2025-01-18,246.89,248.74,245.68,247.96,32777532
2025-01-19,247.815,249.2902,246.24,248.13,33155290
2025-01-20,247.99,251.38,247.65,251.04,51694753
2025-01-21,250.08,253.83,249.78,253.48,51356360
2025-01-22,252.16,254.28,247.74,248.05,56774101
2025-01-23,247.5,252.0,247.0949,249.79,60882264
2025-01-24,248.04,255.0,245.69,254.49,147495267
2025-01-25,254.77,255.65,253.45,255.27,40858774
2025-01-26,255.49,258.21,255.29,258.2,23234705
2025-01-27,258.19,260.1,257.63,259.02,27262983
2025-01-28,257.83,258.7,253.06,255.59,42355321
2025-01-29,252.23,253.5,250.75,252.2,35557542
2025-01-30,252.44,253.28,249.43,250.42,39480718
2025-01-31,248.93,249.1,241.8201,243.85,55740731
2025-02-01,243.36,244.18,241.89,243.36,40244114
2025-02-02,244.31,247.33,243.2,245.0,45045571
2025-02-03,242.98,245.55,241.35,242.21,40855960
2025-02-04,241.92,243.7123,240.05,242.7,37628940
2025-02-05,240.01,240.16,233.0,236.85,61710856
2025-02-06,233.53,234.67,229.72,234.4,49630725
2025-02-07,234.75,236.12,232.472,233.28,39435294
2025-02-08,234.635,238.96,234.43,237.87,39831969
2025-02-09,237.35,238.01,228.03,228.26,71759052
2025-02-10,232.115,232.29,228.48,229.98,68488301
2025-02-11,224.0,224.42,219.38,222.64,98070429
2025-02-12,219.79,224.12,219.79,223.83,64126500
2025-02-13,224.74,227.03,222.3,223.66,60234760
2025-02-14,224.78,225.63,221.41,222.78,54697907
2025-02-15,224.02,232.15,223.98,229.86,94863418
2025-02-16,230.85,240.19,230.81,238.26,75707569
2025-02-17,234.12,239.855,234.01,239.36,45486100
2025-02-18,238.665,240.79,237.21,237.59,55658279
2025-02-19,247.19,247.19,233.44,236.0,101075128
2025-02-20,229.99,231.83,225.7,228.01,73063301
2025-02-21,227.25,233.13,226.65,232.8,45067301
2025-02-22,228.53,232.67,228.27,232.47,39664989
2025-02-23,231.285,233.8,230.425,233.22,29925349
2025-02-24,232.6,234.0,227.26,227.63,39707224
2025-02-25,229.57,230.585,227.2,227.65,33115645
2025-02-26,228.2,235.23,228.13,232.62,53718362
2025-02-27,231.2,236.96,230.68,236.87,45243292
2025-02-28,236.91,242.3399,235.57,241.53,53614054
2025-03-01,241.25,245.55,240.99,244.6,40896227
2025-03-02,244.15,245.18,241.84,244.47,48822491
2025-03-03,244.66,246.01,243.1604,244.87,32204215
2025-03-04,244.94,246.78,244.29,245.83,32316907
2025-03-05,245.95,248.69,245.22,245.55,53197431
2025-03-06,244.925,248.86,244.42,247.1,51326396
2025-03-07,248.0,250.0,244.91,247.04,48013272
2025-03-08,244.33,244.98,239.13,240.36,44433564
2025-03-09,239.41,242.46,237.06,237.3,41153639
2025-03-10,236.95,242.09,230.2,241.84,56833360
2025-03-11,241.79,244.0272,236.112,238.03,47183985
2025-03-12,237.705,240.07,234.68,235.93,53798062
2025-03-13,235.42,236.55,229.23,235.74,47227643
2025-03-14,234.435,237.86,233.1581,235.33,45170419
2025-03-15,235.105,241.37,234.76,239.07,46273565
2025-03-16,235.54,236.16,224.22,227.48,71451281
2025-03-17,223.805,225.8399,217.45,220.84,76137410
2025-03-18,220.14,221.75,214.91,216.98,62547467
2025-03-19,215.95,216.8394,208.42,209.68,61368330
2025-03-20,211.25,213.95,209.58,213.49,60107582
2025-03-21,213.31,215.22,209.97,214.0,48073426
2025-03-22,214.16,215.15,211.49,212.69,42432426
2025-03-23,214.22,218.76,213.75,215.24,54385391
2025-03-24,213.99,217.4899,212.22,214.1,48862947
2025-03-25,211.56,218.84,211.28,218.27,94127768
2025-03-26,221.0,221.48,218.58,220.73,44299483
2025-03-27,220.77,224.1,220.08,223.75,34493583
2025-03-28,223.51,225.02,220.47,221.53,34532656
2025-03-29,221.39,224.99,220.5601,223.85,37094774
2025-03-30,221.67,223.81,217.68,217.9,39818617
2025-03-31,217.005,225.62,216.23,222.13,65299321
2025-04-01,219.805,223.68,218.9,223.19,36412740
