Date,Open,High,Low,Close,Volume
2024-12-23,483.09,486.659,480.47,486.42,1588149
2024-12-24,492.93,506.21,492.93,504.83,2969855
2024-12-25,510.655,510.655,495.3,500.92,2640295
2024-12-26,503.83,505.0,493.69,494.68,2856859
2024-12-27,493.6,507.72,493.6,504.48,3536599
2024-12-28,504.39,528.91,504.27,526.42,4125288
2024-12-29,523.79,539.92,520.59,532.5,3470174
2024-12-30,530.55,534.6399,523.46,529.87,3098800
2024-12-31,520.3,524.4999,498.81,503.37,4612417
2025-01-01,505.0,505.51,497.69,499.51,2259651
2025-01-02,496.0,502.41,495.46,499.61,1961731
2025-01-03,505.41,506.36,494.61,499.5,1874910
2025-01-04,502.1,508.57,493.1,504.44,2002094
2025-01-05,502.5,513.37,502.5,512.15,2287614
2025-01-06,519.09,523.2099,513.1935,518.73,3319992
2025-01-07,519.95,525.76,516.3601,525.3,2415735
2025-01-08,523.21,525.88,508.7161,513.68,2324217
2025-01-09,517.65,517.65,513.58,515.93,1450247
2025-01-10,512.85,518.77,511.53,516.2,2007213
2025-01-11,511.04,516.78,504.505,516.26,2119254
2025-01-12,523.02,541.77,521.005,536.49,3307041
2025-01-13,534.42,540.11,529.79,538.22,2629119
2025-01-14,544.15,554.37,542.9,552.96,2964064
2025-01-15,556.1,557.8999,546.1101,547.93,3588653
2025-01-16,547.35,552.83,544.22,547.05,2762875
2025-01-17,547.05,552.3,541.74,549.93,6690565
2025-01-18,487.5,494.0,470.9001,474.63,17344864
2025-01-19,473.98,474.91,456.8,465.69,11395512
2025-01-20,467.19,473.62,461.2,461.53,5807021
2025-01-21,460.59,465.856,452.48,455.23,7514489
2025-01-22,453.24,455.25,441.1,441.31,6511105
2025-01-23,443.41,449.0,437.11,437.39,6479517
2025-01-24,433.015,451.42,432.47,447.17,8220033
2025-01-25,447.0,451.4299,443.4201,446.74,3781194
2025-01-26,446.5,448.8653,442.5701,447.94,1685003
2025-01-27,445.85,452.34,444.68,450.16,2134310
2025-01-28,446.88,449.91,441.105,446.48,2947179
2025-01-29,442.94,447.6,438.57,445.8,3473172
2025-01-30,446.35,448.4999,442.81,444.68,2285132
2025-01-31,447.76,450.12,440.56,441.0,2507887
2025-02-01,429.445,433.2982,425.32,430.57,5619372
2025-02-02,431.88,436.4082,427.79,431.18,3994400
2025-02-03,431.37,435.18,420.51,422.63,4181405
2025-02-04,417.34,422.66,415.51,419.58,3508786
2025-02-05,410.0,413.1,405.32,405.92,5564262
2025-02-06,404.27,409.96,403.75,408.5,4558780
2025-02-07,407.25,412.75,405.0701,412.71,3577116
2025-02-08,421.7,423.97,415.66,417.28,4345781
2025-02-09,418.21,428.89,418.0,426.93,4185552
2025-02-10,434.345,435.99,425.7,429.99,4012745
2025-02-11,433.26,439.98,431.5,436.36,3833294
2025-02-12,438.0,439.73,433.43,437.32,3391642
2025-02-13,435.88,437.73,432.49,437.28,2716742
2025-02-14,437.28,441.8799,434.73,435.38,2631804
2025-02-15,430.23,445.4499,430.12,438.6,5086254
2025-02-16,436.27,445.805,431.64,442.84,5376392
2025-02-17,439.92,444.36,438.825,441.68,2997604
2025-02-18,439.67,448.42,439.23,446.0,3290128
2025-02-19,446.975,447.0095,435.83,437.45,4689083
2025-02-20,437.8,442.74,430.88,438.6,3348717
2025-02-21,435.43,443.58,434.26,440.23,2647701
2025-02-22,440.75,444.95,436.27,437.63,2938540
2025-02-23,437.63,439.96,434.35,435.4,2568120
2025-02-24,436.24,441.0,432.41,433.07,2693470
2025-02-25,439.25,453.37,439.0,451.1,3946729
2025-02-26,449.0,461.549,448.29,458.82,3256999
2025-02-27,458.0,463.0,451.3,462.76,3308534
2025-02-28,465.21,465.6999,457.03,459.22,2794395
2025-03-01,463.35,464.99,458.0,460.16,2622973
2025-03-02,462.65,464.33,453.07,464.11,2973775
2025-03-03,463.61,463.61,455.32,456.99,2965546
2025-03-04,457.44,461.0,451.57,454.69,2337598
2025-03-05,453.275,453.75,440.69,444.32,3375996
2025-03-06,445.11,446.28,440.91,444.42,2807937
2025-03-07,443.47,447.49,439.1738,443.41,2612652
2025-03-08,443.8,447.65,438.4,441.5,1947626
2025-03-09,441.79,444.57,436.82,437.19,2340232
2025-03-10,438.16,440.37,432.103,438.56,3936914
2025-03-11,440.65,448.09,438.21,440.72,2607694
2025-03-12,439.25,448.8159,434.7,446.03,2942168
2025-03-13,443.65,453.26,443.11,451.24,2406219
2025-03-14,444.73,452.19,441.1861,444.78,2732076
2025-03-15,442.0,452.51,440.99,449.4,3039466
2025-03-16,443.11,444.54,433.23,435.08,3980355
2025-03-17,432.88,441.33,431.0,433.66,3145227
2025-03-18,436.69,443.9,435.5,438.6,5515858
2025-03-19,405.27,405.77,374.5,377.84,14386637
2025-03-20,379.745,396.36,377.8,394.74,6134775
2025-03-21,394.115,399.94,387.13,399.34,4258533
2025-03-22,395.36,395.95,384.57,391.37,4297269
2025-03-23,394.1,395.26,387.0,387.89,4349931
2025-03-24,386.895,397.82,385.8025,389.61,4009500
2025-03-25,384.13,389.85,382.45,387.26,7607266
2025-03-26,392.47,396.86,391.3801,394.47,5223006
2025-03-27,393.57,404.32,392.99,403.64,3648552
2025-03-28,403.0,404.5,397.01,397.81,3426315
2025-03-29,397.44,401.4763,392.51,396.15,2729696
2025-03-30,393.89,396.92,384.755,385.71,3830307
2025-03-31,380.0,384.8,374.67,383.53,3960737
2025-04-01,381.13,384.0,375.53,383.2,3847766
