Date,Open,High,Low,Close,Volume
2024-12-23,41.51,42.01,41.375,41.88,30851406
2024-12-24,44.8,45.55,44.0,45.41,110086715
2024-12-25,45.04,45.23,44.505,44.77,48339732
2024-12-26,45.14,45.5,44.945,45.13,38331814
2024-12-27,45.6,46.5175,45.58,46.08,43293527
2024-12-28,46.14,46.45,45.84,45.86,38155885
2024-12-29,46.2,46.48,45.83,45.87,36903859
2024-12-30,45.95,46.16,45.73,45.9,35733066
2024-12-31,45.62,46.84,45.62,46.75,40488863
2025-01-01,46.75,47.02,46.485,46.72,32371771
2025-01-02,45.99,46.615,45.95,46.41,28534097
2025-01-03,46.57,46.64,45.92,46.06,28021049
2025-01-04,46.39,47.05,46.3,46.46,45336463
2025-01-05,46.37,47.22,46.28,47.0,37996162
2025-01-06,47.26,47.74,47.16,47.5,42718557
2025-01-07,47.505,47.84,47.21,47.75,30301526
2025-01-08,47.82,47.98,47.65,47.77,23278393
2025-01-09,47.8,48.08,47.5,47.51,23262009
2025-01-10,47.74,47.82,46.85,47.04,35891499
2025-01-11,47.37,47.4778,46.65,46.82,38123774
2025-01-12,46.69,46.78,46.13,46.37,24941282
2025-01-13,46.56,47.24,46.5,47.0,31572096
2025-01-14,47.06,47.06,46.4,46.75,28931688
2025-01-15,46.56,46.745,45.895,45.91,34660938
2025-01-16,45.91,46.29,45.585,45.75,35665762
2025-01-17,46.0,46.16,45.47,46.08,36790464
2025-01-18,46.14,46.47,45.92,46.08,24017311
2025-01-19,46.09,46.1,45.38,45.67,32902264
2025-01-20,45.59,45.68,45.16,45.47,27330402
2025-01-21,45.19,45.19,44.62,45.05,33054645
2025-01-22,45.14,45.43,43.35,43.5,41771890
2025-01-23,43.97,44.48,43.3103,43.38,38583594
2025-01-24,43.2,44.395,43.1024,44.17,74222240
2025-01-25,43.9,44.11,42.78,43.89,35374791
2025-01-26,43.93,44.415,43.93,44.38,12054354
2025-01-27,44.21,44.58,44.105,44.55,16079707
2025-01-28,44.24,44.78,44.06,44.34,17972488
2025-01-29,43.89,44.14,43.55,43.91,16109771
2025-01-30,44.04,44.23,43.705,43.95,16110352
2025-01-31,44.14,44.5868,43.8,44.29,25610575
2025-02-01,44.75,44.85,44.15,44.81,23455711
2025-02-02,45.155,46.15,45.0999,45.4,30518458
2025-02-03,46.28,46.65,45.65,46.08,41111204
2025-02-04,45.9,46.26,45.69,46.21,40246008
2025-02-05,46.0,46.05,44.735,45.11,40741349
2025-02-06,45.1,45.34,44.69,45.06,34353617
2025-02-07,45.6,45.92,45.23,45.78,36379011
2025-02-08,47.12,47.46,46.84,47.1,57154814
2025-02-09,47.0,47.51,45.82,46.64,56339293
2025-02-10,46.61,46.88,46.08,46.53,44486094
2025-02-11,46.62,47.15,46.54,46.66,52089087
2025-02-12,46.6,46.73,45.76,45.79,40296223
2025-02-13,46.05,46.89,46.045,46.39,35324065
2025-02-14,46.23,46.86,46.15,46.52,24655102
2025-02-15,46.55,47.14,46.38,47.09,44260048
2025-02-16,47.08,47.4358,46.71,46.84,27156644
2025-02-17,46.75,47.39,46.64,46.75,23681527
2025-02-18,47.11,47.165,46.4,46.72,31199866
2025-02-19,46.7,46.83,46.16,46.3,30392921
2025-02-20,45.42,46.48,45.11,46.21,36497705
2025-02-21,46.35,47.13,46.27,46.71,32893992
2025-02-22,46.98,47.13,46.6448,47.11,27696614
2025-02-23,47.44,47.98,47.17,47.74,39793386
2025-02-24,47.84,47.97,47.38,47.4,26504696
2025-02-25,47.48,47.555,46.4,46.67,26725206
2025-02-26,46.55,46.93,46.275,46.79,20314881
2025-02-27,46.57,46.58,45.935,46.21,29777070
2025-02-28,46.52,46.57,45.97,46.33,26815396
2025-03-01,46.48,47.09,46.48,46.96,25960495
2025-03-02,46.56,46.65,46.16,46.53,37824104
2025-03-03,45.88,46.055,45.4201,46.01,38967823
2025-03-04,45.9,46.19,45.04,45.3,40001086
2025-03-05,45.25,45.51,44.535,44.81,43485874
2025-03-06,45.03,45.39,44.435,44.46,35512204
2025-03-07,44.53,44.835,43.35,43.94,38119007
2025-03-08,44.04,44.5453,43.86,43.94,32251699
2025-03-09,44.09,44.7756,43.935,44.12,28477725
2025-03-10,44.32,46.2,44.199,46.1,62621148
2025-03-11,46.21,46.96,45.22,45.56,46946021
2025-03-12,44.73,44.84,42.03,42.67,78278115
2025-03-13,42.65,42.73,41.705,42.29,52588903
2025-03-14,41.59,41.89,40.9556,41.46,58103505
2025-03-15,41.31,41.73,40.61,41.4,50651434
2025-03-16,40.4,40.62,39.18,39.83,76339995
2025-03-17,39.7,40.66,39.27,39.61,50608382
2025-03-18,40.31,40.5,39.2,39.91,42290673
2025-03-19,39.97,40.19,39.33,39.67,37766080
2025-03-20,40.26,41.015,40.1724,40.89,35979933
2025-03-21,40.92,41.77,40.59,41.44,37242797
2025-03-22,41.72,41.83,41.29,41.65,37644466
2025-03-23,41.72,42.6983,41.3,42.21,42471117
2025-03-24,41.76,42.72,41.65,42.48,41018128
2025-03-25,42.16,42.66,41.89,42.47,65010969
2025-03-26,42.93,43.15,42.75,43.07,30646143
2025-03-27,43.35,43.53,43.04,43.28,25445348
2025-03-28,43.46,43.72,42.73,42.82,30064465
2025-03-29,42.82,43.09,42.515,42.56,25619235
2025-03-30,42.44,42.62,40.985,41.25,34252982
2025-03-31,40.78,41.895,40.605,41.73,36389953
2025-04-01,41.32,41.7,40.965,41.49,25578539
