Date,Open,High,Low,Close,Volume
2024-12-23,297.44,298.81,294.74,297.49,4456064
2024-12-24,305.0,308.56,303.07,306.9,5874885
2024-12-25,307.5,312.19,306.0001,310.78,5722636
2024-12-26,310.03,322.81,309.437,321.95,8484970
2024-12-27,325.25,344.88,325.25,341.73,13954199
2024-12-28,339.29,348.86,338.51,341.15,7659675
2024-12-29,345.5,348.1906,338.77,341.72,6902936
2024-12-30,342.44,346.0,330.82,331.65,7630619
2024-12-31,326.93,330.26,324.18,325.26,7093003
2025-01-01,327.0,327.0,320.205,322.25,4251074
2025-01-02,319.0,324.7,316.0001,323.43,5469892
2025-01-03,325.29,327.26,322.01,325.7,3763500
2025-01-04,331.35,342.9396,328.6,335.78,8364165
2025-01-05,338.95,342.81,335.78,342.02,5649365
2025-01-06,345.0,347.85,338.29,339.11,7117192
2025-01-07,341.98,343.81,339.14,343.18,4492772
2025-01-08,336.46,337.38,328.88,330.01,7471475
2025-01-09,329.34,331.99,327.25,329.99,3517586
2025-01-10,332.0,334.5,330.11,331.01,6063387
2025-01-11,327.4,332.7999,323.65,331.43,12632360
2025-01-12,366.81,369.0,356.65,367.87,24733140
2025-01-13,360.78,365.45,356.67,361.38,10942124
2025-01-14,364.99,367.15,361.0908,361.99,5738864
2025-01-15,361.7,361.7,350.79,351.57,6475001
2025-01-16,351.35,355.49,347.43,348.82,6032962
2025-01-17,353.49,360.2,351.88,354.85,7546604
2025-01-18,355.0,360.0,352.92,358.03,5422002
2025-01-19,364.0,364.8,352.5,354.31,5538020
2025-01-20,350.78,358.07,350.56,357.23,5482323
2025-01-21,356.9,357.23,349.11,350.97,6910983
2025-01-22,354.5,354.77,335.24,337.23,8400030
2025-01-23,341.695,343.53,335.43,336.23,7423351
2025-01-24,332.74,346.45,331.1395,343.65,14932307
2025-01-25,342.25,343.8457,336.68,342.9,5330267
2025-01-26,343.0,344.95,340.83,344.43,1810961
2025-01-27,344.88,344.88,341.0312,341.72,3484545
2025-01-28,340.35,342.27,335.27,338.45,3220402
2025-01-29,333.47,338.1078,331.61,335.74,3411528
2025-01-30,336.27,337.15,332.41,334.33,3026017
2025-01-31,336.31,338.92,327.81,330.66,4807138
2025-02-01,332.1,333.44,329.27,332.9,4102503
2025-02-02,334.02,336.6,327.28,330.53,5785333
2025-02-03,330.5,331.5,322.91,324.93,4643133
2025-02-04,327.74,328.8,323.11,326.9,3788206
2025-02-05,322.765,322.765,316.02,317.85,6539973
2025-02-06,314.6,320.55,313.8,319.07,4583023
2025-02-07,325.0,329.935,321.5,323.54,5935221
2025-02-08,329.88,331.53,320.78,321.16,6042674
2025-02-09,322.94,327.72,319.55,320.0,5051487
2025-02-10,328.72,329.5699,323.07,324.56,6303558
2025-02-11,329.4,329.52,322.45,326.84,6397166
2025-02-12,331.25,335.2288,327.28,332.62,7259285
2025-02-13,332.33,335.46,329.6,334.66,4355877
2025-02-14,336.3,338.65,331.785,333.88,3299074
2025-02-15,332.36,353.15,330.5,347.1,15661109
2025-02-16,354.77,367.09,350.455,359.95,12099293
2025-02-17,358.76,360.18,351.5,354.0,6266724
2025-02-18,340.9,348.0,340.0,343.57,7591129
2025-02-19,348.0,349.5,340.1,341.7,5781541
2025-02-20,335.97,341.46,331.2601,339.24,4549415
2025-02-21,345.62,346.93,338.6722,344.14,4965602
2025-02-22,345.72,348.04,338.8725,347.93,4521009
2025-02-23,337.475,337.475,329.1,330.81,13240635
2025-02-24,332.0,333.82,323.72,325.83,7626090
2025-02-25,327.92,331.75,326.65,327.2,5981915
2025-02-26,324.02,326.44,321.26,324.4,5455939
2025-02-27,319.55,327.0,316.97,326.12,5643373
2025-02-28,326.2,330.3473,323.22,329.85,4312066
2025-03-01,328.03,328.5,322.62,326.54,5879716
2025-03-02,328.59,329.16,323.0,328.96,5262109
2025-03-03,329.74,329.74,322.87,324.53,5012019
2025-03-04,322.24,324.45,318.21,318.43,6393050
2025-03-05,318.97,318.97,306.86,309.8,7353214
2025-03-06,311.51,312.73,303.525,308.32,6652863
2025-03-07,306.25,308.42,300.62,305.88,7360070
2025-03-08,312.66,313.7,306.45,307.33,12638452
2025-03-09,296.34,304.92,292.67,294.9,16691436
2025-03-10,295.955,301.9799,292.1536,297.85,10863109
2025-03-11,301.0,303.07,291.06,293.06,6298208
2025-03-12,290.0,291.65,282.235,287.34,9096260
2025-03-13,287.22,292.6835,285.621,291.97,6612561
2025-03-14,288.23,298.08,284.8327,286.05,10396805
2025-03-15,283.18,288.309,275.17,282.89,8248082
2025-03-16,276.97,278.35,270.72,272.9,9928915
2025-03-17,273.72,280.45,272.0,277.05,8313375
2025-03-18,281.85,285.9268,279.09,284.58,7463894
2025-03-19,282.05,282.555,269.75,271.74,9494522
2025-03-20,275.0,279.89,272.68,279.4,6976916
2025-03-21,277.37,282.73,276.0785,280.75,4484727
2025-03-22,280.02,280.5,275.94,278.73,5882123
2025-03-23,277.5,282.22,277.29,279.39,5245412
2025-03-24,277.06,282.88,277.06,279.03,5504720
2025-03-25,276.21,281.85,274.05,280.62,9804132
2025-03-26,283.74,286.76,283.22,285.96,6763802
2025-03-27,285.61,290.45,285.61,288.61,4301704
2025-03-28,288.34,289.04,279.58,280.99,5073391
2025-03-29,280.54,280.8987,276.01,277.81,3757245
2025-03-30,276.71,277.205,269.19,269.97,4973419
2025-03-31,264.55,268.45,259.19,268.36,7585804
2025-04-01,268.86,270.82,265.82,270.2,4598153
