Date,Open,High,Low,Close,Volume
2024-12-23,95.6,96.67,95.25,96.63,6561725
2024-12-24,98.21,99.55,98.21,98.89,11325086
2024-12-25,98.78,99.52,98.13,98.93,7805138
2024-12-26,98.73,99.26,97.61,99.02,7982113
2024-12-27,99.0,100.9,99.0,100.86,9137854
2024-12-28,100.55,101.29,99.5,100.99,9366216
2024-12-29,100.785,103.2,100.35,102.72,17701277
2024-12-30,110.33,114.81,108.4,109.12,47436052
2024-12-31,110.25,115.19,110.25,115.08,32048032
2025-01-01,113.33,115.435,112.89,113.54,14236555
2025-01-02,112.05,112.5,110.82,112.42,12166783
2025-01-03,112.26,114.37,111.47,114.26,9319270
2025-01-04,114.15,116.25,113.8343,114.72,10260983
2025-01-05,113.85,116.34,113.6,115.65,10098038
2025-01-06,115.68,116.5798,114.932,116.0,10397808
2025-01-07,116.0,116.42,115.44,115.45,6808149
2025-01-08,115.445,118.1998,115.445,117.6,8142388
2025-01-09,117.26,117.74,116.73,117.47,5095150
2025-01-10,117.78,118.63,116.55,117.16,8390465
2025-01-11,117.0,117.23,115.45,116.45,9193973
2025-01-12,115.97,117.29,115.84,116.99,7996244
2025-01-13,116.55,117.27,116.06,116.5,9823556
2025-01-14,116.55,117.26,116.22,116.73,6677906
2025-01-15,116.385,117.18,113.91,114.61,8666121
2025-01-16,114.65,114.95,113.72,114.73,7526428
2025-01-17,114.635,115.05,113.98,114.61,6426831
2025-01-18,114.7,115.01,114.16,114.9,5285116
2025-01-19,114.322,114.96,113.3,113.34,6864475
2025-01-20,113.0,113.067,111.73,112.11,10528533
2025-01-21,111.025,114.04,110.8,113.02,12238619
2025-01-22,113.34,116.1184,111.24,111.35,12292778
2025-01-23,111.66,112.91,111.25,111.37,9468516
2025-01-24,110.61,112.97,110.43,112.03,17955325
2025-01-25,111.61,111.85,110.31,111.4,6037212
2025-01-26,111.25,112.74,111.1924,112.56,2474994
2025-01-27,112.12,113.32,111.86,112.55,4782814
2025-01-28,111.82,112.12,110.86,111.55,4523820
2025-01-29,110.425,111.54,109.83,110.8,5716337
2025-01-30,110.78,111.59,110.67,111.35,4757538
2025-01-31,111.7,112.2,110.17,110.82,5688086
2025-02-01,111.37,111.535,110.18,111.16,5394318
2025-02-02,111.47,112.8537,110.87,111.05,6274419
2025-02-03,112.15,113.74,111.29,111.39,7878807
2025-02-04,111.0,111.11,108.64,109.76,7805312
2025-02-05,110.0,110.54,107.62,108.65,8835518
2025-02-06,107.93,108.61,106.72,108.08,6690232
2025-02-07,108.68,108.96,107.61,108.12,5501600
2025-02-08,109.17,109.6,107.99,108.18,6296861
2025-02-09,108.29,108.6,106.16,106.46,7872767
2025-02-10,106.83,107.74,106.54,107.02,7144263
2025-02-11,107.1,109.45,106.8,108.7,8643694
2025-02-12,109.55,109.55,108.23,108.81,8781705
2025-02-13,108.5,111.07,108.49,111.04,7608265
2025-02-14,111.155,113.39,110.63,112.16,8304478
2025-02-15,111.68,114.08,111.46,113.34,10176938
2025-02-16,112.845,112.96,111.56,112.14,6516763
2025-02-17,113.495,114.3844,112.76,113.19,7607068
2025-02-18,114.085,115.18,113.12,113.43,6236187
2025-02-19,113.3,114.01,112.76,113.06,7797690
2025-02-20,111.35,114.6,110.86,114.0,8870666
2025-02-21,113.8,114.655,112.51,113.3,13521149
2025-02-22,115.7,118.59,110.23,110.54,23309982
2025-02-23,111.88,112.68,109.15,112.09,12470787
2025-02-24,111.61,112.55,110.8101,110.86,8669320
2025-02-25,111.14,111.38,108.69,109.28,8239512
2025-02-26,108.38,109.05,107.69,109.02,7456717
2025-02-27,108.25,109.525,107.75,109.23,6521246
2025-02-28,108.92,109.76,108.56,109.59,6553224
2025-03-01,109.86,110.51,109.5901,110.38,5964541
2025-03-02,109.775,109.92,108.71,109.56,8362898
2025-03-03,109.14,111.76,109.14,111.35,8452114
2025-03-04,111.24,111.52,109.375,110.55,5970106
2025-03-05,111.0,111.76,107.92,108.66,9082075
2025-03-06,108.84,111.555,108.65,111.2,7093298
2025-03-07,111.43,111.9,109.07,110.53,7288975
2025-03-08,110.055,113.25,110.055,111.83,7831584
2025-03-09,112.32,113.12,111.06,111.31,7854650
2025-03-10,111.46,113.99,111.0,113.8,14609401
2025-03-11,114.07,115.55,112.0,112.79,7884746
2025-03-12,111.7,112.25,108.27,109.01,12658024
2025-03-13,109.34,110.9383,108.22,109.31,9956143
2025-03-14,108.38,108.83,105.0165,105.43,11618753
2025-03-15,105.0,105.77,103.31,105.51,12715904
2025-03-16,104.43,104.8,102.11,103.08,10824783
2025-03-17,99.79,101.04,97.45,97.9,16906005
2025-03-18,98.68,99.49,96.38,98.76,11891787
2025-03-19,97.77,98.65,95.925,96.87,11059480
2025-03-20,97.44,99.0985,97.415,98.64,10199761
2025-03-21,98.74,100.12,98.66,99.36,8332119
2025-03-22,99.27,99.725,98.475,99.35,6727404
2025-03-23,99.655,100.96,99.47,100.29,8614622
2025-03-24,99.57,100.05,98.64,98.86,7836515
2025-03-25,98.38,99.89,97.75,99.46,15089873
2025-03-26,100.22,100.44,98.86,100.18,8224405
2025-03-27,100.65,101.76,100.405,101.61,7365249
2025-03-28,101.7,102.27,100.26,100.78,6316413
2025-03-29,100.71,101.03,99.58,100.45,6598776
2025-03-30,100.05,100.39,97.74,98.07,7679702
2025-03-31,96.83,98.85,95.7,98.7,10554041
2025-04-01,98.32,98.59,96.84,97.68,8762675
