Date,Open,High,Low,Close,Volume
2024-12-23,169.43,170.53,168.84,169.74,18242050
2024-12-24,173.8,176.94,173.5,176.51,33695538
2024-12-25,177.41,181.08,177.19,180.75,25352939
2024-12-26,180.645,180.9,178.08,178.35,22006182
2024-12-27,178.58,180.545,178.47,180.35,17450354
2024-12-28,179.82,182.49,179.39,181.62,25134905
2024-12-29,180.46,180.96,178.54,178.88,23184003
2024-12-30,178.28,178.82,174.3218,175.58,31007457
2024-12-31,173.73,174.14,171.22,172.49,32504649
2025-01-01,173.42,175.438,172.9,175.3,20206613
2025-01-02,173.72,178.87,173.56,178.12,23434925
2025-01-03,177.34,177.675,173.78,175.98,18997111
2025-01-04,173.9,174.13,163.7,167.63,59734379
2025-01-05,165.85,166.46,163.9,164.76,38604587
2025-01-06,166.09,168.63,165.6072,167.65,33135263
2025-01-07,167.63,169.82,167.58,169.12,20486720
2025-01-08,169.0,169.4832,168.02,169.23,19266511
2025-01-09,168.5,169.43,167.16,168.95,14257244
2025-01-10,168.765,172.075,168.57,171.49,23789084
2025-01-11,171.49,172.68,170.85,171.34,22248705
2025-01-12,171.145,174.91,171.06,174.37,31615137
2025-01-13,175.36,176.06,172.33,172.64,21356243
2025-01-14,172.03,175.08,171.86,174.71,21462393
2025-01-15,173.96,176.26,173.65,175.37,25389631
2025-01-16,182.845,186.36,181.05,185.17,54813022
2025-01-17,185.31,195.61,184.85,195.4,67894071
2025-01-18,195.0,195.18,191.71,191.96,34817486
2025-01-19,191.01,192.73,189.64,189.82,25143495
2025-01-20,192.87,199.0,192.62,196.66,44934901
2025-01-21,197.25,201.42,194.98,195.42,43504025
2025-01-22,195.22,197.0,187.74,188.4,34166074
2025-01-23,191.625,193.03,188.38,188.51,32265241
2025-01-24,185.78,192.89,185.22,191.41,63462934
2025-01-25,192.62,195.1,190.15,194.63,25675014
2025-01-26,194.84,196.11,193.78,196.11,10403259
2025-01-27,195.15,196.748,194.375,195.6,12057210
2025-01-28,194.95,195.32,190.65,192.76,18891362
2025-01-29,189.8,192.55,189.12,191.24,14264659
2025-01-30,191.075,191.96,188.51,189.3,17466919
2025-01-31,190.65,192.0,187.5,189.43,20370828
2025-02-01,191.37,193.21,189.975,191.79,18596159
2025-02-02,193.98,198.2222,193.85,196.87,29563638
2025-02-03,197.11,201.0,194.6,195.49,26487244
2025-02-04,192.57,196.29,192.38,193.95,24864766
2025-02-05,194.295,196.52,190.31,192.04,26665206
2025-02-06,190.07,191.18,187.36,191.01,21823699
2025-02-07,191.24,191.98,188.3082,189.66,17174854
2025-02-08,193.09,196.36,191.86,195.55,21775969
2025-02-09,194.14,195.48,192.81,192.91,17815432
2025-02-10,196.53,197.23,193.75,196.0,27735089
2025-02-11,199.07,202.29,197.87,198.05,29971292
2025-02-12,199.06,200.48,197.53,198.37,26200617
2025-02-13,198.14,200.3,195.2,197.98,26951357
2025-02-14,198.1,200.9,198.0,200.21,23877521
2025-02-15,192.41,196.88,190.73,191.81,41728893
2025-02-16,192.745,195.48,190.68,195.3,24157929
2025-02-17,195.555,196.785,193.43,195.41,18218256
2025-02-18,198.0,201.4,197.67,200.87,24354684
2025-02-19,202.0,205.48,201.8,204.02,32041952
2025-02-20,200.69,203.75,200.1,201.23,27838348
2025-02-21,203.39,207.05,202.81,206.38,43856425
2025-02-22,191.07,192.75,188.03,191.33,70461770
2025-02-23,189.5,192.1,188.72,191.6,29297442
2025-02-24,191.05,191.18,183.24,185.34,49314961
2025-02-25,187.35,188.2,185.86,186.47,23105649
2025-02-26,185.03,186.94,184.28,185.32,21239519
2025-02-27,183.22,185.11,181.83,183.61,22072559
2025-02-28,184.32,186.28,183.14,186.14,21402523
2025-03-01,185.055,186.4,184.32,185.23,20448437
2025-03-02,185.6,185.96,181.7401,183.77,29916675
2025-03-03,184.07,185.46,183.59,185.27,19549396
2025-03-04,184.8,185.31,182.72,184.56,20441462
2025-03-05,185.15,185.34,179.08,179.66,35199239
2025-03-06,181.99,183.12,178.885,179.25,29854206
2025-03-07,178.04,178.74,174.6939,175.42,41913411
2025-03-08,175.07,176.08,171.5807,172.73,35431268
2025-03-09,173.99,174.56,167.94,168.5,39991015
2025-03-10,168.68,170.61,166.77,170.28,48130565
2025-03-11,171.925,173.37,165.93,167.01,40770451
2025-03-12,166.24,173.2946,165.8,170.92,45387996
2025-03-13,170.52,173.78,169.06,173.02,30954922
2025-03-14,170.53,174.81,170.5,172.35,28301953
2025-03-15,171.26,174.97,170.27,173.86,27385813
2025-03-16,168.26,168.46,163.69,165.87,43377356
2025-03-17,164.91,166.75,161.37,164.04,39587414
2025-03-18,166.58,167.6399,163.53,167.11,28372396
2025-03-19,166.035,166.13,162.11,162.76,31756214
2025-03-20,163.27,166.49,162.45,165.49,31995894
2025-03-21,165.03,166.3,163.67,164.29,31184335
2025-03-22,163.675,164.25,156.72,160.67,42074751
2025-03-23,161.76,165.87,161.0,163.89,34275582
2025-03-24,161.57,164.89,160.96,162.8,28138464
2025-03-25,161.205,164.24,160.8901,163.99,36625764
2025-03-26,167.065,168.32,165.14,167.68,30879129
2025-03-27,168.98,170.63,168.315,170.56,24174373
2025-03-28,169.0,169.61,164.84,165.06,28939326
2025-03-29,164.63,165.42,162.0,162.24,24508273
2025-03-30,160.49,161.82,153.63,154.33,48669335
2025-03-31,153.11,155.54,150.662,154.64,54603464
2025-04-01,153.62,158.1,153.62,157.07,30672899
