Date,Open,High,Low,Close,Volume
2024-12-23,394.97,400.23,393.8601,400.09,2496489
2024-12-24,394.04,394.04,381.72,388.37,7133367
2024-12-25,391.0,399.76,390.8,399.44,4323070
2024-12-26,404.0,406.4,402.3001,405.9,3448699
2024-12-27,407.77,411.6,405.825,408.29,4071533
2024-12-28,414.25,416.02,402.19,403.08,5647107
2024-12-29,409.13,412.7399,406.7201,410.19,3083105
2024-12-30,408.0,411.5,404.39,405.72,3348056
2024-12-31,402.9,408.91,402.9,408.18,3239545
2025-01-01,405.5,412.54,403.95,410.44,3394375
2025-01-02,408.38,409.16,399.36,406.8,3239356
2025-01-03,406.0,406.7,399.92,400.0,4732195
2025-01-04,401.33,411.39,400.38,410.45,3722586
2025-01-05,412.09,420.14,410.95,420.0,4932501
2025-01-06,425.0,430.25,424.46,428.67,4544233
2025-01-07,428.6,439.37,424.695,429.52,2758597
2025-01-08,428.6,430.1,425.96,427.19,2293453
2025-01-09,428.56,431.0,427.54,429.13,2028714
2025-01-10,429.0,430.4,423.155,426.96,2617198
2025-01-11,429.73,430.68,423.32,429.35,2713985
2025-01-12,426.41,428.83,425.5,427.92,1969019
2025-01-13,426.6,429.7594,425.88,426.54,2523528
2025-01-14,428.7,435.75,427.01,431.37,3161705
2025-01-15,432.35,436.36,428.03,429.18,3425988
2025-01-16,426.9,427.31,421.41,422.59,3354873
2025-01-17,425.23,428.0,421.26,421.38,4211198
2025-01-18,421.43,422.75,413.18,414.42,3673612
2025-01-19,415.77,418.14,414.18,416.98,2649853
2025-01-20,417.85,418.48,410.69,410.71,2879619
2025-01-21,410.0,410.4,406.23,408.47,3726820
2025-01-22,407.0,410.71,393.38,393.82,4225524
2025-01-23,394.74,395.14,384.89,385.02,4576147
2025-01-24,383.37,393.2872,383.05,392.6,8046363
2025-01-25,391.1,393.24,387.03,392.45,2434007
2025-01-26,392.13,396.14,390.5,396.14,1392629
2025-01-27,392.52,395.78,391.62,395.14,1321218
2025-01-28,392.14,395.47,391.37,392.86,1942681
2025-01-29,390.53,391.21,385.68,389.43,2444858
2025-01-30,390.01,391.46,387.3,388.99,2179671
2025-01-31,392.13,392.67,386.38,388.46,2418343
2025-02-01,389.82,391.01,385.81,389.18,2232389
2025-02-02,390.5,393.99,388.03,389.37,3274669
2025-02-03,390.9,391.9,383.1,384.23,2274312
2025-02-04,383.0,387.69,380.1,387.2,2848462
2025-02-05,388.91,392.91,384.615,389.89,5323431
2025-02-06,389.99,395.86,387.7,389.18,3512936
2025-02-07,390.59,394.2,389.63,392.78,3405174
2025-02-08,406.65,408.0,401.76,406.09,4584769
2025-02-09,406.27,410.105,403.916,409.33,2305938
2025-02-10,413.49,414.45,408.53,409.38,3228960
2025-02-11,413.0,420.22,413.0,418.43,3568089
2025-02-12,417.55,417.55,409.33,410.1,3581351
2025-02-13,411.57,414.69,408.75,414.39,3840275
2025-02-14,414.09,415.01,410.755,414.5,2370116
2025-02-15,414.9,426.1859,414.0,424.87,3699202
2025-02-16,423.24,423.24,416.7,418.83,2818648
2025-02-17,420.22,421.37,411.79,413.42,2385201
2025-02-18,416.41,417.3236,411.5192,414.5,3081304
2025-02-19,413.17,416.38,410.32,411.98,2761798
2025-02-20,406.12,411.9,401.01,408.76,2896444
2025-02-21,409.51,412.58,406.085,411.49,2150773
2025-02-22,415.15,415.15,408.14,413.82,2212115
2025-02-23,414.91,417.79,413.0,414.16,2023667
2025-02-24,413.2,414.2899,406.5,407.37,2530505
2025-02-25,410.64,414.95,408.7902,413.99,2617582
2025-02-26,414.0,416.57,412.74,416.36,1442188
2025-02-27,408.58,409.65,402.12,407.14,3387401
2025-02-28,408.71,412.98,407.49,412.43,3067859
2025-03-01,415.0,417.9999,408.5551,409.5,3004396
2025-03-02,408.31,408.87,400.22,403.31,3994025
2025-03-03,397.22,398.64,392.935,395.43,3780014
2025-03-04,393.0,394.76,391.1,394.64,2703526
2025-03-05,396.4,397.815,383.9,385.3,5286976
2025-03-06,386.09,386.55,378.2,382.42,5722039
2025-03-07,385.0,401.01,384.19,393.29,6823898
2025-03-08,395.24,398.87,388.56,390.48,3871549
2025-03-09,389.91,395.47,388.325,390.27,2825142
2025-03-10,394.42,396.87,390.2819,396.6,4263916
2025-03-11,396.95,397.07,386.47,389.69,3397551
2025-03-12,386.15,387.96,378.9,381.68,4384823
2025-03-13,379.0,387.12,378.01,386.35,2780317
2025-03-14,383.5,387.76,380.73,381.73,4221975
2025-03-15,379.5,380.6502,368.9,376.8,4574277
2025-03-16,377.44,383.12,372.61,374.65,3702608
2025-03-17,374.22,374.93,365.7276,368.16,4013320
2025-03-18,371.97,372.0,361.75,364.73,3368038
2025-03-19,361.91,362.0,345.26,347.25,7062396
2025-03-20,350.65,351.39,345.42,351.31,5510696
2025-03-21,351.76,355.55,350.96,354.13,3681459
2025-03-22,353.53,353.89,347.59,349.57,3008238
2025-03-23,352.0,354.4263,348.985,353.42,2990191
2025-03-24,354.69,361.7665,352.2,355.52,3391223
2025-03-25,352.09,353.39,346.275,351.15,8205413
2025-03-26,354.62,364.43,354.28,363.77,4023527
2025-03-27,361.53,363.65,358.54,360.99,2799657
2025-03-28,360.39,364.73,360.12,362.13,3141372
2025-03-29,361.9,365.21,361.15,362.73,3036580
2025-03-30,363.16,363.2,356.17,358.15,2980206
2025-03-31,353.495,368.74,352.65,366.49,4498842
2025-04-01,364.14,367.29,361.92,365.52,2801979
