Date,Open,High,Low,Close,Volume
2024-12-23,22.58,23.58,22.4,23.32,59153326
2024-12-24,24.3,25.12,24.05,25.05,116760537
2024-12-25,25.43,26.3799,25.19,26.23,101489302
2024-12-26,26.0,26.43,25.83,26.2,76427983
2024-12-27,25.96,26.2863,24.83,25.05,80185321
2024-12-28,24.66,24.96,23.89,24.16,62539733
2024-12-29,24.06,25.14,24.02,24.92,58201972
2024-12-30,25.12,25.61,24.9346,25.03,49252121
2024-12-31,24.81,24.82,24.23,24.35,55104875
2025-01-01,24.33,25.02,24.16,24.84,59667333
2025-01-02,24.5,24.54,24.095,24.2,61190859
2025-01-03,24.07,24.21,23.55,24.01,50191510
2025-01-04,24.08,24.77,23.83,24.44,58928410
2025-01-05,24.35,24.68,24.14,24.5,36784715
2025-01-06,25.04,25.565,24.76,24.87,91128387
2025-01-07,24.95,24.985,23.81,24.05,69613557
2025-01-08,23.83,23.93,23.06,23.65,53992319
2025-01-09,23.72,24.28,23.6,24.05,36616750
2025-01-10,24.84,25.48,23.44,23.93,150497884
2025-01-11,23.68,23.75,22.44,22.47,138160493
2025-01-12,22.53,22.54,21.81,21.96,104648976
2025-01-13,22.04,22.19,20.66,20.8,167993483
2025-01-14,20.95,21.05,20.66,20.92,78539132
2025-01-15,20.92,21.06,20.73,20.81,68818217
2025-01-16,20.83,20.86,19.96,20.16,90004833
2025-01-17,20.14,20.25,19.87,20.12,75209342
2025-01-18,20.02,20.9,19.92,20.78,77695010
2025-01-19,20.6,20.8,20.25,20.34,55104079
2025-01-20,20.17,21.1,20.0,20.83,73832891
2025-01-21,20.64,20.77,20.2925,20.44,51767153
2025-01-22,20.48,20.58,19.21,19.3,86041243
2025-01-23,19.53,19.69,19.03,19.06,69117805
2025-01-24,18.97,19.76,18.9,19.52,108453667
2025-01-25,19.58,20.23,19.52,20.2,57988375
2025-01-26,20.22,20.4,19.96,20.4,29884026
2025-01-27,20.23,20.665,20.08,20.44,39950380
2025-01-28,20.21,20.605,20.09,20.3,48260830
2025-01-29,20.01,20.115,19.73,19.82,59608126
2025-01-30,19.99,20.4,19.88,20.05,49846656
2025-01-31,20.23,20.43,20.0,20.22,46438529
2025-02-01,20.39,20.665,20.06,20.56,48983942
2025-02-02,20.83,20.98,19.78,19.87,83270990
2025-02-03,20.02,20.34,19.9,20.01,61726060
2025-02-04,19.825,20.12,19.71,19.88,47897071
2025-02-05,19.66,19.66,18.91,19.15,71244581
2025-02-06,18.92,19.249,18.73,19.2,50668970
2025-02-07,19.36,19.52,18.82,19.2,47147526
2025-02-08,19.4,19.77,19.171,19.72,56305989
2025-02-09,19.75,19.95,19.4,19.67,44898059
2025-02-10,21.26,21.62,20.79,21.49,166483914
2025-02-11,22.03,22.41,21.75,21.77,96262179
2025-02-12,21.725,22.285,21.57,21.86,60972578
2025-02-13,21.69,21.75,21.35,21.57,55778156
2025-02-14,21.36,21.41,20.75,20.83,66300614
2025-02-15,20.81,21.06,20.14,20.29,83582097
2025-02-16,20.34,20.342,19.74,19.8,73411385
2025-02-17,19.87,20.08,19.66,19.75,86506821
2025-02-18,19.72,20.1,19.43,20.01,108166983
2025-02-19,20.1,20.33,19.38,19.43,117474899
2025-02-20,18.97,19.75,18.78,19.38,77523142
2025-02-21,19.1,19.53,19.02,19.29,54098200
2025-02-22,19.19,19.77,18.91,19.65,66250254
2025-02-23,19.51,19.7,19.22,19.38,45553771
2025-02-24,19.35,19.36,19.03,19.1,58277917
2025-02-25,19.25,20.08,19.24,19.77,73007266
2025-02-26,19.87,21.88,19.8618,20.97,150960704
2025-02-27,21.98,22.56,20.93,22.48,162631182
2025-02-28,22.84,24.83,22.79,24.13,248661333
2025-03-01,24.36,25.19,22.86,23.6,230254092
2025-03-02,24.6,27.55,24.49,27.39,284292210
2025-03-03,25.98,26.33,25.46,25.72,151881727
2025-03-04,25.56,26.12,24.48,26.09,144939566
2025-03-05,25.96,26.29,24.84,24.87,111630859
2025-03-06,24.55,24.8,23.62,24.27,91358071
2025-03-07,24.21,24.28,22.7701,22.99,88886469
2025-03-08,23.245,23.82,23.21,23.52,67449304
2025-03-09,23.7,24.4,23.07,23.09,97871945
2025-03-10,23.02,24.44,22.64,23.73,104133777
2025-03-11,25.0,25.04,22.52,22.74,141348692
2025-03-12,22.54,22.63,20.76,21.33,152182200
2025-03-13,21.33,21.36,20.18,20.81,127219259
2025-03-14,20.26,21.13,20.0,20.75,96466381
2025-03-15,20.27,21.2,20.11,20.64,81099646
2025-03-16,20.24,20.51,19.65,19.93,79671246
2025-03-17,19.965,20.06,19.29,19.78,80788985
2025-03-18,20.79,21.17,20.21,20.68,128671089
2025-03-19,23.5,24.53,23.13,23.7,243260993
2025-03-20,23.675,24.37,23.52,24.05,116901643
2025-03-21,24.42,26.145,24.37,25.69,160723633
2025-03-22,25.55,26.41,25.39,25.92,132488822
2025-03-23,24.9,25.2299,24.03,24.12,135491427
2025-03-24,23.77,24.31,23.73,23.96,68937584
2025-03-25,23.6,24.7,23.49,24.26,94110710
2025-03-26,24.715,24.99,24.13,24.22,69169028
2025-03-27,24.175,24.75,24.11,24.2,51743281
2025-03-28,24.25,24.4194,23.25,23.42,59678008
2025-03-29,23.285,23.76,22.855,23.62,57720584
2025-03-30,23.35,23.58,22.56,22.71,58365257
2025-03-31,22.38,22.745,21.75,22.71,65832019
2025-04-01,22.56,22.62,21.66,22.05,64060355
