Date,Open,High,Low,Close,Volume
2024-12-23,157.67,158.59,156.35,158.35,6547074
2024-12-24,159.9,160.85,157.355,157.88,8926601
2024-12-25,158.47,158.75,156.51,156.73,7522812
2024-12-26,157.0,157.08,155.41,155.47,8926134
2024-12-27,155.62,157.58,154.91,155.04,7146759
2024-12-28,154.53,155.04,152.37,152.64,7181408
2024-12-29,152.5,153.51,151.4245,153.24,7162233
2024-12-30,153.18,153.5918,150.76,151.87,7716385
2024-12-31,150.9,154.43,150.9,154.0,11328515
2025-01-01,152.59,155.33,152.33,154.77,7514177
2025-01-02,153.945,153.99,152.05,153.0,8233678
2025-01-03,153.03,153.25,151.81,153.11,9061274
2025-01-04,153.62,156.06,152.81,155.5,10141056
2025-01-05,155.9,157.115,154.11,155.17,8265961
2025-01-06,155.17,157.035,155.14,155.78,12256242
2025-01-07,155.16,155.25,153.16,154.52,5683499
2025-01-08,154.63,156.63,154.6,155.4,4140444
2025-01-09,154.89,155.67,154.17,155.01,5687821
2025-01-10,154.75,155.0,153.9258,154.8,6946494
2025-01-11,154.8,154.8,152.305,152.36,8674415
2025-01-12,151.29,151.56,149.75,150.47,10333110
2025-01-13,150.0,150.38,148.95,149.52,7898098
2025-01-14,149.39,150.05,148.38,149.31,8389611
2025-01-15,149.29,150.89,148.44,149.6,8410303
2025-01-16,149.93,150.83,148.33,149.23,9398671
2025-01-17,148.5,148.5,146.37,146.64,13446656
2025-01-18,147.2,147.77,146.01,146.24,6176269
2025-01-19,145.66,146.93,145.04,146.62,8324900
2025-01-20,146.73,147.25,143.52,143.85,8732378
2025-01-21,143.84,146.66,143.71,146.41,10342958
2025-01-22,145.678,146.74,144.67,144.75,9336094
2025-01-23,144.14,145.22,143.37,143.58,9516653
2025-01-24,143.05,145.47,142.75,144.47,17702755
2025-01-25,144.63,145.33,143.45,145.27,8720824
2025-01-26,145.0,145.85,144.3325,145.85,3164071
2025-01-27,145.51,146.37,145.09,145.58,4656981
2025-01-28,144.87,146.6,144.68,145.05,5588306
2025-01-29,144.84,144.88,142.95,143.34,6268692
2025-01-30,143.76,144.67,143.3098,144.62,5811401
2025-01-31,145.23,145.77,143.78,144.02,6051330
2025-02-01,144.07,144.575,143.62,144.19,5879816
2025-02-02,143.51,144.815,142.93,143.66,7910493
2025-02-03,143.755,147.18,143.59,146.23,8422010
2025-02-04,145.49,145.59,141.44,142.27,11175552
2025-02-05,141.0,143.67,140.68,142.06,8821541
2025-02-06,142.98,145.07,142.31,144.47,10376377
2025-02-07,144.5,144.81,142.86,144.75,8681741
2025-02-08,145.31,146.05,144.26,144.97,7434562
2025-02-09,144.32,148.07,144.06,147.77,8964016
2025-02-10,147.44,148.38,146.61,147.03,10773054
2025-02-11,147.56,148.86,147.05,148.15,11111747
2025-02-12,144.0,145.47,142.11,145.27,16834747
2025-02-13,145.44,147.91,144.8144,146.64,10506361
2025-02-14,146.805,147.631,146.383,146.82,9887682
2025-02-15,148.45,153.45,148.0,152.89,15152314
2025-02-16,152.66,152.97,150.3,150.38,10320613
2025-02-17,150.5,151.88,150.0,151.15,7156421
2025-02-18,151.91,154.14,151.36,152.87,8910983
2025-02-19,152.62,153.18,152.055,152.15,8458715
2025-02-20,152.0,152.465,150.78,151.87,6687487
2025-02-21,151.36,154.18,150.945,153.49,9645289
2025-02-22,153.82,154.73,153.31,154.69,8946957
2025-02-23,154.79,154.8402,153.38,153.51,7418468
2025-02-24,153.53,154.49,152.8,153.12,6204916
2025-02-25,153.61,154.37,152.29,154.24,6936561
2025-02-26,154.11,156.39,153.94,156.13,7554811
2025-02-27,155.27,155.6599,154.27,155.26,7746014
2025-02-28,155.26,158.13,154.79,157.25,10705077
2025-03-01,157.29,157.47,156.06,156.15,6411840
2025-03-02,154.14,155.45,153.24,154.99,9670657
2025-03-03,155.0,158.3,154.75,157.89,7974736
2025-03-04,156.95,159.95,156.95,159.68,7224030
2025-03-05,159.88,163.51,159.28,162.3,12546930
2025-03-06,162.68,164.87,162.05,163.74,10201917
2025-03-07,164.1,166.43,163.94,166.09,12303697
2025-03-08,165.08,165.13,162.555,163.08,11396410
2025-03-09,162.31,163.95,161.73,163.73,8364573
2025-03-10,164.31,165.94,162.7,165.02,12037415
2025-03-11,164.96,167.33,164.84,167.28,9191464
2025-03-12,168.08,169.99,165.32,165.42,11999962
2025-03-13,164.51,166.4618,163.53,165.12,8745050
2025-03-14,165.0,165.87,163.51,165.83,8037888
2025-03-15,165.13,168.46,164.7,166.69,9637593
2025-03-16,167.48,169.9,167.05,167.7,17523663
2025-03-17,167.2,167.3,165.05,165.86,9890648
2025-03-18,163.73,164.21,162.23,162.85,8010692
2025-03-19,163.43,164.54,162.6601,162.99,5286734
2025-03-20,162.12,163.15,161.1,162.81,6235797
2025-03-21,162.41,163.5,161.73,162.84,6669815
2025-03-22,163.44,164.86,162.965,164.25,7348974
2025-03-23,163.97,164.36,162.21,162.99,5936637
2025-03-24,163.0,163.2,161.925,163.02,7485930
2025-03-25,163.0,164.13,162.48,163.63,17047106
2025-03-26,162.84,164.39,162.5,163.29,8046565
2025-03-27,163.52,164.19,160.555,161.02,7456197
2025-03-28,161.21,162.49,160.64,161.72,7223773
2025-03-29,162.35,164.065,161.32,163.13,6752466
2025-03-30,163.59,164.52,162.91,163.71,5760545
2025-03-31,164.37,166.63,164.23,165.84,12481400
2025-04-01,160.73,161.81,153.13,153.25,23303065
