Date,Open,High,Low,Close,Volume
2024-12-23,220.03,221.96,220.0,221.49,5600686
2024-12-24,235.0,248.0,234.77,247.06,23987753
2024-12-25,244.5,244.57,235.22,236.38,16451071
2024-12-26,239.34,239.34,235.78,236.98,9502100
2024-12-27,240.0,242.1,239.0,239.29,9017079
2024-12-28,240.55,241.46,238.76,239.56,6860956
2024-12-29,240.58,244.09,240.31,241.16,11472557
2024-12-30,242.415,244.29,241.05,241.87,10172202
2024-12-31,241.46,246.42,241.46,245.31,11518836
2025-01-01,247.76,247.93,242.68,245.03,9052575
2025-01-02,242.25,245.1509,241.55,243.09,6792660
2025-01-03,244.4,244.61,238.64,240.78,9015290
2025-01-04,243.23,245.49,242.105,244.76,8783516
2025-01-05,243.61,249.15,243.0347,248.55,7997307
2025-01-06,249.59,254.31,249.06,250.29,10295350
2025-01-07,250.49,251.0,248.34,249.97,6212142
2025-01-08,249.35,251.19,248.771,249.79,5472265
2025-01-09,249.86,251.77,249.45,249.72,5494825
2025-01-10,249.55,250.25,245.03,246.25,8899741
2025-01-11,248.23,249.04,244.63,244.82,6657694
2025-01-12,244.7,245.345,242.23,243.4,7346265
2025-01-13,245.39,247.18,244.62,245.48,6572536
2025-01-14,245.7,247.74,244.84,247.36,5519738
2025-01-15,247.13,247.8699,243.76,243.81,7076466
2025-01-16,243.89,247.96,242.22,242.86,9108339
2025-01-17,244.0,244.27,242.18,243.53,7884442
2025-01-18,243.0,244.1,241.04,241.53,6113771
2025-01-19,242.07,242.715,239.1437,239.94,10392749
2025-01-20,240.61,240.67,237.52,239.58,9032044
2025-01-21,238.65,239.02,236.63,238.36,8083635
2025-01-22,239.0,239.07,229.53,230.37,11322358
2025-01-23,232.27,236.36,232.27,232.96,11790773
2025-01-24,231.92,239.21,231.5877,237.6,32348414
2025-01-25,236.07,238.62,234.88,238.39,8611528
2025-01-26,239.43,242.4922,239.07,242.31,3729092
2025-01-27,241.43,243.26,240.79,243.14,4452168
2025-01-28,242.72,243.39,240.04,241.17,5730607
2025-01-29,238.77,240.84,237.11,239.32,5723765
2025-01-30,240.05,241.4393,239.03,239.71,4870971
2025-01-31,240.92,243.276,239.45,240.0,9220914
2025-02-01,243.89,244.88,240.26,243.28,9491053
2025-02-02,243.695,245.69,240.58,240.85,9917836
2025-02-03,242.14,245.26,240.9,243.17,8753357
2025-02-04,242.75,244.25,240.5,243.13,8675284
2025-02-05,243.09,243.81,238.74,239.87,10256829
2025-02-06,239.67,244.54,239.0,244.21,10005315
2025-02-07,242.66,247.72,242.19,247.47,12407386
2025-02-08,250.4,253.6699,243.68,252.35,18448520
2025-02-09,254.0,257.035,252.33,254.27,15292348
2025-02-10,254.14,260.62,252.14,259.16,17678101
2025-02-11,260.07,264.25,259.5037,263.03,13712114
2025-02-12,262.9,263.38,260.25,262.84,9021914
2025-02-13,264.69,266.8599,263.81,265.95,10749681
2025-02-14,263.69,267.1,263.01,264.84,7666261
2025-02-15,264.17,265.97,262.26,265.85,7522258
2025-02-16,265.85,267.33,264.8301,267.14,7375391
2025-02-17,267.21,270.68,265.61,266.58,7684870
2025-02-18,268.63,269.7,266.6201,268.23,8753466
2025-02-19,269.23,270.82,266.96,267.3,7196268
2025-02-20,261.83,268.165,261.7009,266.81,8381361
2025-02-21,269.84,269.84,266.83,267.94,5625972
2025-02-22,268.91,270.64,268.33,270.43,5704431
2025-02-23,272.45,276.98,271.19,276.9,7264371
2025-02-24,277.27,278.55,274.715,275.8,6857875
2025-02-25,276.15,276.18,269.59,271.04,8627352
2025-02-26,270.26,276.22,269.66,274.99,7196376
2025-02-27,274.08,276.45,273.25,275.45,6683894
2025-02-28,275.5,276.97,273.81,276.32,8398667
2025-03-01,277.37,279.2334,276.45,276.59,5688627
2025-03-02,276.76,279.97,276.02,279.95,7919798
2025-03-03,278.38,280.25,277.22,279.25,7007248
2025-03-04,278.675,278.74,265.735,266.8,13846671
2025-03-05,268.32,269.1955,262.84,264.24,12835566
2025-03-06,265.49,267.0,258.61,261.34,10372751
2025-03-07,262.23,263.0,253.35,257.4,9608439
2025-03-08,257.16,260.9115,256.93,258.79,5943585
2025-03-09,260.18,263.64,257.86,259.05,8204447
2025-03-10,260.73,264.81,257.89,264.65,10467126
2025-03-11,264.0,266.32,257.82,260.62,9058307
2025-03-12,255.28,257.23,245.95,250.25,13465630
2025-03-13,251.25,253.05,247.83,251.53,7861424
2025-03-14,248.11,249.36,243.85,246.54,9983235
2025-03-15,245.23,246.72,239.42,242.28,20498734
2025-03-16,236.21,237.51,228.7,232.22,18730564
2025-03-17,231.745,233.32,226.69,229.14,18142995
2025-03-18,234.0,234.32,227.26,227.9,16054015
2025-03-19,229.3,229.5,224.23,225.19,16467851
2025-03-20,228.12,233.143,227.58,232.44,11962108
2025-03-21,231.18,235.6695,230.455,233.93,9586025
2025-03-22,234.32,236.17,233.52,234.97,10344866
2025-03-23,235.74,242.33,234.89,239.11,10120588
2025-03-24,236.56,241.76,236.2,239.01,8328513
2025-03-25,237.81,242.3,236.5,241.63,19326865
2025-03-26,245.48,248.69,244.41,248.06,9422650
2025-03-27,249.31,251.82,247.6247,251.13,9287694
2025-03-28,252.6,254.67,249.78,251.03,12785225
2025-03-29,249.525,250.64,247.18,248.12,8022517
2025-03-30,246.94,249.505,241.11,242.85,11978417
2025-03-31,239.41,245.86,237.3643,245.3,13602996
2025-04-01,242.62,245.69,240.8818,243.66,8054683
