Date,Open,High,Low,Close,Volume
2024-12-23,64.64,65.4698,64.64,65.37,8780220
2024-12-24,64.42,64.86,63.18,63.7,22899263
2024-12-25,64.29,64.39,63.6,63.66,14856051
2024-12-26,63.91,64.24,63.74,63.92,14719308
2024-12-27,63.99,64.12,63.2509,63.36,13980873
2024-12-28,63.68,63.75,63.12,63.2,15020975
2024-12-29,63.05,63.26,62.49,63.0,13177637
2024-12-30,63.11,63.11,62.43,62.55,15910820
2024-12-31,62.49,62.63,61.39,61.74,26284331
2025-01-01,61.85,62.14,61.56,61.86,16079364
2025-01-02,61.9,62.62,61.63,62.59,16254832
2025-01-03,62.7,63.01,62.02,62.99,18904909
2025-01-04,63.15,63.81,62.95,63.76,17292300
2025-01-05,64.24,64.48,63.65,63.92,19562231
2025-01-06,64.32,64.71,63.84,64.38,36805252
2025-01-07,64.31,64.64,64.06,64.55,14473271
2025-01-08,64.96,65.1,64.25,64.43,13263403
2025-01-09,64.02,64.25,63.77,64.08,10648354
2025-01-10,64.05,64.19,63.345,63.65,16500095
2025-01-11,63.72,64.08,63.025,63.52,24874490
2025-01-12,63.275,63.35,61.9,62.21,28137660
2025-01-13,62.47,63.12,62.1,62.92,21040359
2025-01-14,62.83,63.36,62.51,62.53,15581148
2025-01-15,62.69,62.929,61.9,62.6,22348331
2025-01-16,62.7,63.04,61.79,62.91,14949415
2025-01-17,63.0,63.63,62.4,62.64,32819011
2025-01-18,63.55,63.92,63.22,63.84,17542091
2025-01-19,63.57,63.835,63.11,63.12,13429033
2025-01-20,63.23,63.86,62.35,62.55,24559738
2025-01-21,62.45,63.55,62.32,63.4,21902382
2025-01-22,62.81,63.64,62.79,62.85,20946087
2025-01-23,62.7,63.17,62.4,62.45,21300647
2025-01-24,62.47,63.06,62.28,62.55,42458096
2025-01-25,62.5,62.76,61.5318,62.38,13010758
2025-01-26,62.2,62.84,62.01,62.84,5019131
2025-01-27,62.62,62.74,62.4,62.57,7945641
2025-01-28,62.45,62.95,62.209,62.45,8542773
2025-01-29,62.34,62.34,61.68,62.03,8972212
2025-01-30,62.02,62.43,61.8,62.26,9256664
2025-01-31,62.35,62.75,61.62,61.84,12990975
2025-02-01,61.9,62.075,61.62,61.75,10403204
2025-02-02,61.5,61.565,60.66,60.81,17924237
2025-02-03,61.11,61.7175,60.615,60.84,17799629
2025-02-04,60.99,61.77,60.93,61.71,14412397
2025-02-05,61.58,61.65,60.73,61.07,22424951
2025-02-06,61.13,61.845,60.71,61.65,18016173
2025-02-07,61.655,62.065,61.3,62.04,16658287
2025-02-08,62.33,62.62,61.68,61.77,16187203
2025-02-09,61.42,62.3,61.32,62.25,12585528
2025-02-10,62.31,62.765,62.17,62.71,17948868
2025-02-11,62.9,63.23,62.3,62.42,19817068
2025-02-12,62.12,62.285,61.66,61.78,18191886
2025-02-13,61.8,61.98,61.37,61.53,16528423
2025-02-14,61.72,62.01,61.435,61.92,19244604
2025-02-15,62.87,64.18,62.473,63.87,20742915
2025-02-16,63.51,64.04,62.28,62.36,14956031
2025-02-17,62.56,63.36,62.55,62.83,11325635
2025-02-18,63.85,64.285,63.23,64.05,13200977
2025-02-19,63.7,63.93,63.39,63.48,12102060
2025-02-20,63.18,63.6299,62.43,63.35,12067883
2025-02-21,63.61,63.63,62.35,62.67,15677998
2025-02-22,62.72,63.29,62.585,63.12,10686754
2025-02-23,63.62,63.74,62.91,63.36,13423408
2025-02-24,63.43,63.92,63.27,63.84,13184674
2025-02-25,64.1,64.65,63.66,64.55,16154300
2025-02-26,67.5,67.67,66.41,67.6,30589148
2025-02-27,66.87,68.82,66.87,68.71,26033764
2025-02-28,69.0,69.61,68.762,69.5,24393148
2025-03-01,69.365,70.03,68.76,68.87,20779090
2025-03-02,68.55,69.37,68.42,69.05,15569122
2025-03-03,69.21,70.13,69.17,70.07,16032270
2025-03-04,69.71,70.07,69.42,70.04,13398010
2025-03-05,70.32,71.6,70.13,71.35,21662252
2025-03-06,70.84,71.73,70.33,70.59,21418442
2025-03-07,70.86,71.7699,70.73,71.49,21555588
2025-03-08,71.27,71.275,70.525,70.8,14531175
2025-03-09,70.72,71.535,70.42,70.87,16789476
2025-03-10,71.45,71.57,70.56,71.21,22167379
2025-03-11,70.24,72.36,69.73,72.32,21717603
2025-03-12,72.07,72.65,69.88,70.19,25411858
2025-03-13,69.9,70.74,69.84,70.08,23933629
2025-03-14,70.41,70.529,69.45,70.46,21694031
2025-03-15,69.65,71.82,69.65,71.43,28393261
2025-03-16,71.96,73.22,71.32,71.45,25100223
2025-03-17,71.875,72.04,70.61,71.04,28076440
2025-03-18,70.37,70.73,69.74,69.94,18923301
2025-03-19,70.25,70.25,69.281,69.62,15746568
2025-03-20,68.51,69.26,68.3803,69.16,14205091
2025-03-21,69.24,70.17,69.08,70.12,15634808
2025-03-22,70.11,70.19,69.3,69.38,12657615
2025-03-23,68.55,69.38,68.54,69.28,14780007
2025-03-24,69.305,69.81,69.09,69.71,16295263
2025-03-25,69.71,69.97,68.18,68.67,47479473
2025-03-26,68.8,69.08,68.33,68.95,12575412
2025-03-27,68.95,69.08,68.6,68.81,12513897
2025-03-28,68.92,70.35,68.9,70.02,14482764
2025-03-29,70.18,70.985,70.07,70.74,11663365
2025-03-30,70.81,71.315,69.53,70.37,17412915
2025-03-31,70.73,71.9375,70.49,71.62,24016866
2025-04-01,71.68,71.91,71.185,71.87,15309146
