Date,Open,High,Low,Close,Volume
2024-12-23,757.35,767.5299,756.27,763.91,2200645
2024-12-24,771.5,781.49,757.38,780.21,3690817
2024-12-25,781.37,798.22,779.94,796.54,3295074
2024-12-26,797.36,799.06,788.65,795.04,1910626
2024-12-27,795.9,806.823,795.565,805.44,2399150
2024-12-28,807.5,820.3697,803.75,819.5,2814064
2024-12-29,822.615,836.9899,820.5368,830.47,2767772
2024-12-30,833.67,840.9997,830.02,837.26,3038231
2024-12-31,832.04,832.04,816.49,823.96,3673720
2025-01-01,815.5,848.45,809.3301,847.05,4084081
2025-01-02,839.75,874.49,839.16,871.32,3814227
2025-01-03,879.98,890.6,868.4,883.85,4093843
2025-01-04,883.93,908.0,877.24,897.48,4511263
2025-01-05,896.0,906.0,893.0,897.79,3214020
2025-01-06,902.05,902.05,864.22,865.59,6014203
2025-01-07,867.49,886.36,867.2501,872.6,3138259
2025-01-08,872.06,880.95,858.91,877.34,2578222
2025-01-09,882.17,892.41,876.68,886.81,2027237
2025-01-10,887.51,902.34,884.12,897.74,2388966
2025-01-11,894.36,902.69,888.025,902.17,2401634
2025-01-12,898.05,915.9699,898.05,911.06,2689629
2025-01-13,917.85,927.0,911.1075,917.87,2835307
2025-01-14,915.23,935.27,912.71,934.74,2955383
2025-01-15,928.0,930.2999,902.59,913.69,3350082
2025-01-16,913.76,922.88,909.58,913.35,2388575
2025-01-17,924.71,941.75,923.08,936.56,3501691
2025-01-18,933.35,934.0886,922.6,925.55,2486197
2025-01-19,916.81,925.55,909.61,918.87,2485829
2025-01-20,923.94,928.94,919.5,921.08,2674892
2025-01-21,921.54,928.45,916.42,919.13,2459456
2025-01-22,919.13,922.44,886.56,889.55,2938194
2025-01-23,908.18,912.6215,899.0,902.04,2815512
2025-01-24,893.21,919.9238,890.4872,909.05,4530519
2025-01-25,913.42,915.0,899.1001,911.45,2339375
2025-01-26,915.0,935.85,911.7,932.12,2320293
2025-01-27,928.4,930.49,915.3,924.14,2342418
2025-01-28,916.01,918.13,894.5,907.55,3226158
2025-01-29,894.51,908.2299,889.71,900.43,2202970
2025-01-30,901.8,902.68,889.47,891.32,1875897
2025-01-31,895.5,898.58,877.0,886.73,2315685
2025-02-01,893.13,898.83,879.8901,881.05,2970019
2025-02-02,888.76,892.83,871.69,881.79,3457656
2025-02-03,879.38,888.0,869.11,879.19,2649823
2025-02-04,880.0,886.215,873.0,875.0,2347949
2025-02-05,866.4,866.41,834.4,837.69,4803312
2025-02-06,831.525,847.07,829.14,840.29,3024517
2025-02-07,843.2,844.8925,823.519,828.4,3037650
2025-02-08,836.44,850.84,830.41,848.26,3181383
2025-02-09,860.96,868.98,842.02,842.37,4028537
2025-02-10,859.79,865.0,852.13,858.1,3617565
2025-02-11,863.53,916.4,854.745,869.68,9851351
2025-02-12,998.025,999.0,950.76,953.99,14273205
2025-02-13,957.81,985.0,953.9,984.86,7752137
2025-02-14,984.41,986.28,967.68,977.59,4550397
2025-02-15,971.1,982.27,960.26,971.89,4634204
2025-02-16,966.71,977.934,957.3,971.83,3433972
2025-02-17,980.0,987.64,968.2345,978.15,2930728
2025-02-18,986.75,994.59,970.0101,973.24,3867825
2025-02-19,974.0,990.2892,974.0,976.76,3618718
2025-02-20,973.0,987.6891,964.375,978.94,3724197
2025-02-21,980.47,1008.0,978.51,994.87,6000137
2025-02-22,987.73,1011.825,986.68,1011.11,3997733
2025-02-23,1007.87,1016.35,1002.61,1015.68,3134293
2025-02-24,1017.0,1027.76,1005.6701,1013.93,3212853
2025-02-25,1023.05,1032.85,1015.88,1027.6,3296566
2025-02-26,1020.79,1022.69,1002.95,1008.08,3331797
2025-02-27,1005.49,1027.74,998.3473,1027.31,3388966
2025-02-28,1026.625,1045.9899,1025.1,1043.69,3476068
2025-03-01,1044.95,1064.5,1041.69,1058.6,3145430
2025-03-02,1060.0,1062.0,1023.749,1035.85,4229339
2025-03-03,1035.18,1044.9999,1024.51,1043.33,2600048
2025-03-04,1042.0,1045.0,1015.5941,1024.54,3111831
2025-03-05,1029.42,1032.38,999.39,1003.15,3738710
2025-03-06,1008.0,1015.17,984.48,988.47,4426227
2025-03-07,989.4,994.3999,955.0,977.24,4738304
2025-03-08,977.6,1000.89,976.9,990.06,3397205
2025-03-09,995.0,1000.7255,961.825,963.07,3766566
2025-03-10,969.56,982.27,958.17,980.56,4717409
2025-03-11,983.0,994.93,964.81,973.7,3907447
2025-03-12,971.61,986.3135,948.21,972.58,4392814
2025-03-13,973.62,995.5999,969.48,990.92,3807935
2025-03-14,972.99,973.69,899.0,906.36,7852559
2025-03-15,897.64,904.8859,858.07,891.11,7737488
2025-03-16,875.07,881.27,854.5,866.68,6951652
2025-03-17,867.41,910.68,866.0,895.1,7398934
2025-03-18,914.6,927.18,901.0,919.68,6865837
2025-03-19,913.0,921.8892,887.51,890.17,5001698
2025-03-20,901.46,919.625,901.0,918.0,5200684
2025-03-21,939.95,967.63,934.42,950.02,7543146
2025-03-22,940.0,948.2499,916.3,929.98,6009400
2025-03-23,935.77,968.0,924.0,959.49,6662361
2025-03-24,950.01,967.0,945.5,950.84,4466305
2025-03-25,941.635,963.6532,940.95,960.29,5905429
2025-03-26,969.67,977.0,951.55,971.99,4677871
2025-03-27,978.18,998.7,977.11,997.28,3782245
2025-03-28,993.81,996.79,966.32,970.65,3534707
2025-03-29,974.22,989.0,966.3664,976.72,3047237
2025-03-30,972.0,974.98,929.23,933.85,4422717
2025-03-31,920.53,934.48,900.59,932.53,4634075
2025-04-01,927.5,932.29,911.5,928.38,3519956
