Date,Open,High,Low,Close,Volume
2024-12-23,27.74,28.0,27.58,27.99,44175835
2024-12-24,27.93,27.99,27.08,27.36,65749517
2024-12-25,27.53,27.59,27.34,27.46,48484777
2024-12-26,27.11,27.15,26.71,26.72,55951315
2024-12-27,26.72,26.83,26.22,26.24,54329259
2024-12-28,26.23,26.44,25.95,26.19,53035233
2024-12-29,26.23,26.75,25.975,26.72,47983088
2024-12-30,26.74,26.85,25.84,26.02,45262223
2024-12-31,25.7,25.7,24.48,24.8,131074383
2025-01-01,24.97,25.25,24.7,24.86,64261280
2025-01-02,24.7,25.11,24.61,25.1,52381212
2025-01-03,25.07,25.1,24.65,24.94,46170786
2025-01-04,24.87,25.215,24.775,25.13,45048363
2025-01-05,25.18,25.75,25.099,25.65,41896988
2025-01-06,25.75,26.45,25.74,26.17,57707647
2025-01-07,26.16,26.24,25.61,25.77,33001020
2025-01-08,25.76,25.95,25.7,25.83,28242085
2025-01-09,25.83,26.23,25.77,26.21,22023022
2025-01-10,26.07,26.22,25.73,25.82,43866360
2025-01-11,25.83,25.9,25.52,25.56,49064298
2025-01-12,25.45,25.5,25.18,25.23,42541528
2025-01-13,25.23,25.79,25.14,25.7,43647885
2025-01-14,25.74,26.1,25.59,25.73,31830727
2025-01-15,25.76,26.44,25.58,26.1,37464823
2025-01-16,26.1,26.11,25.51,25.57,43280545
2025-01-17,25.38,25.5137,25.17,25.23,39569365
2025-01-18,25.18,25.48,25.06,25.37,38705092
2025-01-19,25.34,25.66,25.26,25.58,29043563
2025-01-20,25.59,25.75,25.2218,25.25,40193951
2025-01-21,25.9,26.46,25.86,26.43,71440271
2025-01-22,26.19,26.52,25.86,25.89,47575127
2025-01-23,25.7,26.09,25.575,25.77,50324678
2025-01-24,25.7,26.49,25.7,26.36,116340073
2025-01-25,26.36,26.75,26.19,26.71,35350374
2025-01-26,26.59,26.77,26.3812,26.74,19716416
2025-01-27,26.64,26.72,26.48,26.56,31513727
2025-01-28,26.43,26.85,26.4225,26.62,35218279
2025-01-29,26.48,26.58,26.24,26.42,32859114
2025-01-30,26.4,26.65,26.36,26.53,27085473
2025-01-31,26.75,26.86,26.56,26.61,32899229
2025-02-01,26.7,26.84,26.5201,26.59,33416986
2025-02-02,26.71,27.25,26.56,26.89,43950971
2025-02-03,27.01,27.57,26.94,27.13,35029957
2025-02-04,27.05,27.14,26.23,26.86,35430724
2025-02-05,26.87,27.05,26.69,26.72,32836862
2025-02-06,26.65,26.81,26.36,26.8,28359600
2025-02-07,26.81,26.87,26.27,26.41,25856913
2025-02-08,26.515,26.65,26.21,26.22,35949694
2025-02-09,26.07,26.57,25.96,26.49,29981137
2025-02-10,26.395,26.56,26.22,26.3,35380330
2025-02-11,26.45,26.64,26.39,26.64,39745587
2025-02-12,26.51,26.6,25.97,26.01,41890415
2025-02-13,26.01,26.4782,25.85,26.44,40987046
2025-02-14,26.02,26.2,25.96,26.09,31300184
2025-02-15,26.24,26.97,26.18,26.86,50648558
2025-02-16,26.78,26.86,26.49,26.75,40589558
2025-02-17,26.8,27.07,26.57,26.62,34418182
2025-02-18,26.66,27.01,26.58,26.91,32289570
2025-02-19,26.96,27.01,26.42,26.52,37338151
2025-02-20,26.3,26.47,26.15,26.2,49626216
2025-02-21,26.1,26.9168,25.6,25.87,68748342
2025-02-22,25.95,26.69,25.7,26.44,50426780
2025-02-23,26.42,26.47,25.78,25.83,45182013
2025-02-24,25.86,25.9599,25.53,25.74,36512824
2025-02-25,25.78,26.12,25.51,25.87,39632710
2025-02-26,25.83,25.91,25.46,25.53,36593280
2025-02-27,25.475,25.615,25.17,25.47,31671613
2025-02-28,25.49,25.74,25.33,25.64,30612533
2025-03-01,25.73,25.83,25.47,25.53,33214613
2025-03-02,25.605,25.74,25.42,25.56,40499740
2025-03-03,25.57,25.915,25.5,25.89,37292373
2025-03-04,25.86,26.08,25.75,25.9,37138957
2025-03-05,25.89,26.57,25.845,26.3,54611479
2025-03-06,26.4,26.74,25.88,26.65,43823332
2025-03-07,26.72,27.03,26.54,26.74,43560142
2025-03-08,26.68,26.78,26.35,26.42,30103275
2025-03-09,26.285,26.5,26.0109,26.1,28268280
2025-03-10,26.055,26.49,25.91,26.43,51531747
2025-03-11,26.37,26.895,25.97,26.25,54048604
2025-03-12,26.25,26.31,25.67,25.75,51315033
2025-03-13,25.7,26.1799,25.6601,25.94,37062356
2025-03-14,25.93,26.4562,25.9,26.24,46998311
2025-03-15,26.4,26.885,26.18,26.73,54337680
2025-03-16,26.64,27.24,26.54,26.64,52284874
2025-03-17,26.57,26.62,25.87,25.99,44841410
2025-03-18,25.935,25.97,25.5,25.71,37331036
2025-03-19,25.76,26.07,25.53,25.6,36717859
2025-03-20,25.62,25.76,25.495,25.72,30298342
2025-03-21,25.74,26.15,25.585,26.05,32676852
2025-03-22,26.21,26.4,26.1,26.31,32958720
2025-03-23,26.33,26.5,26.08,26.21,42522707
2025-03-24,26.245,26.295,26.015,26.19,35378936
2025-03-25,26.13,26.52,26.01,26.28,349996520
2025-03-26,26.1,26.22,25.89,26.14,37944360
2025-03-27,26.16,26.2,25.51,25.55,47607587
2025-03-28,25.52,25.65,25.125,25.21,49578894
2025-03-29,25.2,25.23,24.83,25.01,51302022
2025-03-30,25.03,25.22,24.81,25.21,32352546
2025-03-31,24.8,25.425,24.61,25.34,53498113
2025-04-01,25.29,25.345,24.52,24.54,54444200
