Date,Open,High,Low,Close,Volume
2024-12-23,164.33,166.32,164.33,165.76,4397441
2024-12-24,165.61,166.04,159.81,161.05,11473688
2024-12-25,161.96,163.9534,161.475,163.41,9056725
2024-12-26,164.015,167.75,163.93,167.71,7506566
2024-12-27,167.0,168.52,165.775,166.03,6364403
2024-12-28,166.14,167.06,165.57,165.84,6507823
2024-12-29,166.06,166.795,165.68,166.58,5412566
2024-12-30,166.71,168.04,166.51,167.08,7444273
2024-12-31,167.94,170.57,166.88,169.54,9939416
2025-01-01,169.11,171.45,168.8301,170.75,6681087
2025-01-02,170.69,171.17,169.66,170.76,5683673
2025-01-03,170.01,171.07,169.5055,170.89,7081237
2025-01-04,171.66,173.51,170.22,172.75,6240403
2025-01-05,174.145,177.4,173.88,176.28,10609785
2025-01-06,177.48,178.82,176.904,177.39,19357005
2025-01-07,177.2,179.46,177.2,179.31,6276933
2025-01-08,180.0,180.43,178.725,179.36,5522912
2025-01-09,178.7,179.63,178.28,179.26,3823708
2025-01-10,179.12,180.16,178.01,179.7,5728297
2025-01-11,178.77,179.62,175.2,175.42,8127329
2025-01-12,174.17,175.15,173.46,175.11,6823659
2025-01-13,174.86,176.459,174.45,176.03,5022189
2025-01-14,175.37,176.74,173.75,173.82,5741167
2025-01-15,173.635,173.76,170.43,170.79,7164286
2025-01-16,170.42,172.93,169.93,172.28,6220088
2025-01-17,173.01,173.39,170.395,170.63,5237533
2025-01-18,171.43,171.8177,170.02,170.85,4072810
2025-01-19,170.77,171.7875,170.12,171.06,3884513
2025-01-20,171.445,172.78,171.0975,171.14,5943680
2025-01-21,170.67,171.954,170.02,170.33,6069344
2025-01-22,169.76,170.56,169.02,169.08,7517081
2025-01-23,169.01,170.1,167.35,169.19,8585220
2025-01-24,168.87,169.865,167.5,168.06,21999342
2025-01-25,168.06,168.68,166.36,168.11,6984079
2025-01-26,167.62,169.18,167.42,168.94,2460756
2025-01-27,168.31,170.3,168.07,170.16,3629533
2025-01-28,169.42,170.76,169.26,169.53,4367879
2025-01-29,168.665,168.98,166.71,167.09,4354543
2025-01-30,167.36,168.08,166.59,167.65,3957920
2025-01-31,168.085,168.7052,165.91,165.98,5401712
2025-02-01,166.25,166.5,164.25,165.13,5256807
2025-02-02,162.81,163.5,160.44,160.6,8731671
2025-02-03,161.46,162.61,160.74,161.3,8447744
2025-02-04,160.99,162.4,160.565,162.1,4974783
2025-02-05,160.15,161.21,157.47,158.56,8501525
2025-02-06,159.35,160.09,158.41,158.84,6772198
2025-02-07,158.85,160.07,158.31,159.74,5982254
2025-02-08,160.59,161.15,159.335,159.65,8059231
2025-02-09,159.62,160.58,159.135,160.5,5774429
2025-02-10,159.74,161.75,159.6,161.13,7262739
2025-02-11,160.96,162.35,160.96,161.72,13914694
2025-02-12,167.1,168.14,164.44,164.74,14356691
2025-02-13,163.88,166.48,163.32,166.15,7614308
2025-02-14,165.91,165.91,163.2,164.12,6199939
2025-02-15,166.72,169.94,166.11,169.66,9170829
2025-02-16,168.91,169.59,166.11,166.19,6716387
2025-02-17,166.72,167.29,165.8805,166.23,4850295
2025-02-18,167.48,167.6,165.93,167.41,4136546
2025-02-19,166.0,166.62,165.21,165.99,5464903
2025-02-20,165.47,169.38,165.23,168.76,8668729
2025-02-21,169.29,169.29,166.28,168.13,6410938
2025-02-22,168.09,169.14,166.61,169.01,7537232
2025-02-23,169.37,169.93,168.03,168.88,4957889
2025-02-24,169.09,169.12,167.87,167.97,4535617
2025-02-25,167.69,168.48,166.4,167.53,7063167
2025-02-26,167.69,169.57,166.5,169.43,5438081
2025-02-27,168.35,170.08,167.97,169.58,6037671
2025-02-28,169.63,171.38,169.14,171.02,6328365
2025-03-01,169.79,170.0,162.3,162.89,13179478
2025-03-02,163.35,165.76,162.2,165.43,7075681
2025-03-03,166.1,166.87,165.24,166.49,7910823
2025-03-04,163.15,167.78,162.8,167.21,6162601
2025-03-05,167.44,170.5491,165.92,170.23,9813720
2025-03-06,170.22,172.98,169.79,170.54,8564057
2025-03-07,171.28,173.95,170.8,172.65,7314856
2025-03-08,172.28,172.65,170.65,171.3,5519041
2025-03-09,170.85,173.09,170.63,171.97,5466965
2025-03-10,173.58,174.65,171.85,173.84,10240069
2025-03-11,173.58,176.29,173.51,175.59,7615570
2025-03-12,176.75,179.99,172.91,173.18,12118023
2025-03-13,173.38,175.87,173.02,174.61,6989086
2025-03-14,174.89,175.84,172.8439,174.66,6702490
2025-03-15,174.09,178.89,174.05,175.95,9566763
2025-03-16,176.76,179.99,175.83,176.26,11017004
2025-03-17,175.825,175.99,172.32,173.12,11032285
2025-03-18,169.7,171.83,167.77,168.37,10159136
2025-03-19,167.7,169.29,167.2779,168.59,6609126
2025-03-20,167.79,168.59,166.62,167.97,6790624
2025-03-21,168.37,171.09,168.13,169.76,9931678
2025-03-22,170.07,170.26,167.58,167.71,6100242
2025-03-23,167.87,168.745,167.11,168.57,7569165
2025-03-24,168.89,169.205,166.03,167.55,8789167
2025-03-25,167.14,168.14,164.12,166.69,16027251
2025-03-26,166.43,166.8699,165.36,165.65,6102109
2025-03-27,165.3,165.37,162.195,162.85,8366736
2025-03-28,163.35,166.82,162.99,166.58,7757259
2025-03-29,167.87,169.03,166.62,168.71,6211735
2025-03-30,169.38,169.71,167.62,168.03,5479306
2025-03-31,168.1015,171.14,168.1015,170.42,11520451
2025-04-01,170.57,171.05,169.06,170.56,7021507
