Date,Open,High,Low,Close,Volume
2024-12-23,558.28,568.74,554.4,567.03,2608133
2024-12-24,603.895,605.5,590.8501,596.69,6591301
2024-12-25,598.69,607.6418,596.15,605.45,5254274
2024-12-26,609.0,619.8,605.2,615.81,3875838
2024-12-27,616.895,630.73,613.9225,625.25,3003242
2024-12-28,619.58,624.48,613.775,614.67,2809603
2024-12-29,613.0,613.005,603.06,605.87,3409793
2024-12-30,603.48,606.0,588.99,593.15,3079199
2024-12-31,591.92,598.93,589.95,592.23,3423919
2025-01-01,589.44,594.14,585.32,589.65,2577124
2025-01-02,582.72,586.835,576.77,577.0,3198346
2025-01-03,582.71,602.6436,581.55,600.5,3928765
2025-01-04,600.0,604.0,596.73,597.49,2722929
2025-01-05,598.56,601.26,588.675,590.87,3198124
2025-01-06,597.58,609.84,595.01,605.83,5146485
2025-01-07,608.24,608.47,598.88,606.79,2693612
2025-01-08,611.03,617.45,606.7,608.38,2269792
2025-01-09,608.8,615.78,606.62,610.2,2010812
2025-01-10,614.0,614.0,600.77,608.52,3365099
2025-01-11,610.85,615.75,604.82,605.23,2329878
2025-01-12,611.02,622.83,606.97,610.79,4147575
2025-01-13,605.64,608.9899,573.885,578.97,5943684
2025-01-14,582.105,582.105,544.1401,549.62,13003644
2025-01-15,552.0,562.98,544.6412,560.62,7684650
2025-01-16,562.0,567.7499,557.0301,565.19,5360590
2025-01-17,555.655,558.1,532.67,533.53,10362991
2025-01-18,531.53,534.0,514.19,515.76,9403795
2025-01-19,515.64,527.53,510.72,520.48,8202905
2025-01-20,518.0,521.7,496.08,498.5,8879986
2025-01-21,487.0,495.6,475.82,485.52,14132661
2025-01-22,488.43,506.535,486.0,499.72,10147601
2025-01-23,500.14,503.65,486.24,489.25,7418073
2025-01-24,489.29,502.64,488.73,500.13,10956886
2025-01-25,500.76,508.78,499.05,506.34,4285978
2025-01-26,504.4,506.1,500.59,506.1,1824393
2025-01-27,505.65,512.22,504.73,511.15,3387986
2025-01-28,509.42,513.18,507.8,509.99,3471799
2025-01-29,506.86,509.73,500.66,507.8,5409047
2025-01-30,509.35,511.0,503.34,505.86,4214367
2025-01-31,508.0,512.11,503.2901,504.51,4237395
2025-02-01,506.35,516.29,505.38,513.0,3020428
2025-02-02,513.0,520.3,509.8225,513.67,4444836
2025-02-03,518.85,519.5,511.22,514.25,3914545
2025-02-04,514.495,524.67,509.5123,524.52,4141728
2025-02-05,526.64,535.45,518.47,520.69,5467532
2025-02-06,535.045,547.4,533.14,541.14,6472465
2025-02-07,539.645,544.55,536.55,543.74,3978259
2025-02-08,537.095,546.29,534.33,543.42,4103865
2025-02-09,530.35,539.84,510.0,510.59,9059887
2025-02-10,505.62,521.82,502.8,509.76,7495719
2025-02-11,514.05,525.0,512.82,524.99,5682082
2025-02-12,521.66,524.44,516.0,519.72,3756139
2025-02-13,527.87,531.48,519.32,529.77,4580802
2025-02-14,528.11,534.63,524.51,532.51,3671163
2025-02-15,539.98,551.905,539.98,543.52,4262959
2025-02-16,543.01,546.5,537.8362,542.48,3162659
2025-02-17,541.73,543.4752,534.01,538.1,2737638
2025-02-18,539.47,547.11,535.0,545.57,2924741
2025-02-19,543.24,549.16,541.41,542.49,4120661
2025-02-20,542.0,553.91,541.07,548.18,4083572
2025-02-21,545.2,548.8075,541.51,545.45,2869935
2025-02-22,530.73,540.7,521.91,539.81,4621558
2025-02-23,537.89,539.1,525.27,530.04,3926829
2025-02-24,529.2,532.3918,525.39,527.03,3349299
2025-02-25,527.67,534.16,523.38,533.37,3143143
2025-02-26,535.0,547.54,528.265,533.92,2632107
2025-02-27,539.85,542.35,525.51,527.4,3859241
2025-02-28,530.9,534.33,527.1,531.18,2835051
2025-03-01,529.0,533.2,522.91,523.51,3705326
2025-03-02,510.94,516.0,497.0,500.73,8759280
2025-03-03,501.33,511.855,498.15,511.04,4380314
2025-03-04,505.19,508.4343,500.235,502.42,4144301
2025-03-05,439.55,469.7,438.5,466.42,19864874
2025-03-06,466.675,468.0,457.0,461.52,6919337
2025-03-07,460.77,470.76,450.07,470.38,9100970
2025-03-08,464.65,473.05,458.2,463.59,5108381
2025-03-09,466.17,475.3999,465.02,468.56,4216771
2025-03-10,467.0,476.36,464.48,474.96,6146326
2025-03-11,474.37,477.2749,465.2075,467.05,5700194
2025-03-12,469.75,479.21,466.46,474.61,5864135
2025-03-13,471.07,479.075,471.01,475.98,3637102
2025-03-14,476.0,488.12,472.0,487.72,4963988
2025-03-15,483.83,499.92,483.365,493.48,5434096
2025-03-16,492.28,497.85,477.71,480.22,4790405
2025-03-17,482.5,486.765,477.14,486.04,4101015
2025-03-18,483.14,487.595,478.82,481.11,3681016
2025-03-19,479.45,484.06,475.0,481.52,2877044
2025-03-20,481.0,489.45,478.24,488.65,3915911
2025-03-21,487.51,500.6087,485.945,499.02,5152316
2025-03-22,502.24,505.9699,497.82,503.8,3617629
2025-03-23,505.04,506.35,500.06,503.2,3317606
2025-03-24,505.25,514.39,503.51,511.3,4965390
2025-03-25,511.68,519.0,505.09,516.85,10244942
2025-03-26,515.08,518.245,511.12,516.5,3841080
2025-03-27,518.28,519.0,511.53,513.43,3015143
2025-03-28,515.2,522.95,512.85,518.2,3255026
2025-03-29,516.285,521.08,512.95,515.72,2822160
2025-03-30,516.87,520.98,515.05,516.04,2379100
2025-03-31,519.18,528.12,518.59,523.75,5238670
2025-04-01,525.74,528.17,520.95,523.12,2962708
