Date,Open,High,Low,Close,Volume
2024-12-23,291.71,294.78,291.58,293.29,3753721
2024-12-24,306.32,309.0,302.8201,307.4,10320476
2024-12-25,307.5,307.63,304.42,305.8,6237348
2024-12-26,306.89,311.15,305.69,307.87,6240616
2024-12-27,310.09,312.44,309.3,310.92,4674088
2024-12-28,309.04,310.55,308.11,309.85,4616616
2024-12-29,309.49,310.9485,307.84,309.48,4046544
2024-12-30,309.3,311.29,307.83,308.25,4415788
2024-12-31,307.56,310.72,306.66,309.64,5106284
2025-01-01,309.48,312.41,308.7,312.16,4585944
2025-01-02,310.0,312.23,308.51,311.85,4885860
2025-01-03,311.86,312.29,306.22,307.39,6350282
2025-01-04,307.3,310.92,306.65,309.9,5757406
2025-01-05,307.97,311.59,307.9,309.92,5919518
2025-01-06,311.86,313.66,309.86,313.19,14189302
2025-01-07,314.2,314.5,311.54,311.82,7071592
2025-01-08,310.77,316.37,309.49,314.7,5204318
2025-01-09,314.29,316.25,313.7,315.08,3853281
2025-01-10,316.9,317.42,313.71,316.65,5597635
2025-01-11,317.1,317.32,312.77,313.01,5009907
2025-01-12,312.42,312.85,308.8,309.9,5981759
2025-01-13,309.98,311.09,308.83,309.08,5200052
2025-01-14,308.87,312.56,308.8,311.01,4302851
2025-01-15,311.83,313.01,307.64,308.3,5785297
2025-01-16,307.36,312.98,306.64,312.38,4539827
2025-01-17,313.04,315.55,311.215,313.79,4321824
2025-01-18,314.82,315.55,313.43,314.23,3218540
2025-01-19,315.83,316.95,314.34,314.74,4682543
2025-01-20,314.74,317.56,314.1,315.89,6562510
2025-01-21,315.82,318.84,315.14,318.3,8844349
2025-01-22,318.5,321.615,309.56,309.78,10479177
2025-01-23,311.83,316.87,311.23,314.88,8317119
2025-01-24,313.57,320.0,312.28,317.71,24387016
2025-01-25,315.65,317.97,313.35,317.22,7984610
2025-01-26,318.17,321.54,317.28,320.65,2684103
2025-01-27,319.77,321.45,319.46,320.91,2856059
2025-01-28,319.27,321.5,317.56,318.66,3489200
2025-01-29,314.68,317.11,313.23,315.31,3478763
2025-01-30,316.12,317.66,315.1901,316.04,3963824
2025-01-31,317.78,319.68,312.41,314.4,5373059
2025-02-01,314.18,315.92,312.01,314.91,4271845
2025-02-02,315.01,315.39,312.07,313.04,6567336
2025-02-03,312.89,315.19,311.32,311.67,4958641
2025-02-04,311.0,314.04,310.2146,312.6,5161601
2025-02-05,311.2,311.85,305.99,307.71,6660255
2025-02-06,305.0,306.92,303.84,306.92,9568727
2025-02-07,308.75,310.16,307.52,309.09,5107901
2025-02-08,313.68,317.1876,313.13,316.28,5222278
2025-02-09,315.75,319.18,315.75,317.25,4606670
2025-02-10,317.5,320.59,316.71,319.62,5805810
2025-02-11,320.31,324.58,320.0,323.63,5653341
2025-02-12,324.77,325.74,322.38,323.56,5026478
2025-02-13,323.76,328.51,323.57,328.21,5297085
2025-02-14,328.02,331.085,327.805,330.2,4327755
2025-02-15,330.0,335.49,328.05,334.54,6636541
2025-02-16,334.67,337.83,332.89,334.48,5999623
2025-02-17,334.5,337.11,334.5,335.88,5087286
2025-02-18,339.51,344.44,339.0,343.05,8081262
2025-02-19,346.47,351.2499,341.71,341.8,8628071
2025-02-20,340.0,346.0,339.24,345.82,8004548
2025-02-21,344.6,346.01,342.54,345.15,5532573
2025-02-22,346.0,349.4768,345.25,349.44,4939090
2025-02-23,349.78,350.65,346.6001,347.48,4294541
2025-02-24,348.0,350.7485,347.21,348.02,4261612
2025-02-25,348.7,351.9,347.7,351.23,6067002
2025-02-26,348.3,352.12,346.25,350.72,5154783
2025-02-27,349.16,351.83,347.49,351.49,6760066
2025-02-28,353.12,356.08,350.73,355.63,4279581
2025-03-01,354.43,355.4299,353.22,353.81,5720285
2025-03-02,353.69,356.74,352.4,356.73,5822034
2025-03-03,356.015,357.15,354.18,355.23,4152269
2025-03-04,355.23,356.13,349.06,350.49,5697023
2025-03-05,350.49,353.32,347.48,348.53,6924127
2025-03-06,348.755,350.8,347.355,349.86,5055927
2025-03-07,351.37,352.5867,346.0,352.09,6191949
2025-03-08,350.0,351.83,348.99,350.63,5960603
2025-03-09,351.9,360.31,351.675,355.74,7298114
2025-03-10,354.71,364.0,353.7109,362.71,15857344
2025-03-11,363.0,366.54,359.5401,361.82,9099607
2025-03-12,360.11,360.27,350.4,352.23,8955804
2025-03-13,350.83,354.1065,348.935,352.68,8244242
2025-03-14,345.96,348.87,340.3878,344.16,8611119
2025-03-15,340.87,346.39,339.14,345.32,6358901
2025-03-16,339.94,345.01,337.64,341.48,8190091
2025-03-17,338.41,339.61,329.575,332.14,9776072
2025-03-18,335.97,336.16,329.11,332.84,6295394
2025-03-19,330.99,336.2,327.7,328.55,7915323
2025-03-20,327.21,332.7657,326.3808,331.8,7810970
2025-03-21,330.03,336.11,329.76,334.55,6149652
2025-03-22,335.29,335.8,332.3,334.77,7778631
2025-03-23,336.8,341.0313,334.5,339.87,5615204
2025-03-24,339.0,342.24,337.66,339.5,5432675
2025-03-25,337.37,339.43,335.52,335.66,17279673
2025-03-26,338.65,345.22,337.6509,343.87,5675111
2025-03-27,344.56,345.53,340.67,344.62,3931161
2025-03-28,345.99,347.38,343.0,344.18,6187574
2025-03-29,344.0,350.84,343.32,349.86,7254807
2025-03-30,349.19,351.615,341.605,342.85,5687616
2025-03-31,339.35,351.86,334.49,350.46,9950762
2025-04-01,350.44,350.45,342.57,346.35,7473329
