Date,Open,High,Low,Close,Volume
2024-12-23,82.68,83.77,82.51,83.68,10612489
2024-12-24,85.14,85.54,82.06,83.44,19974038
2024-12-25,83.72,84.39,83.42,83.85,12665777
2024-12-26,84.28,85.42,84.23,84.83,14396543
2024-12-27,84.95,85.41,84.12,84.21,10433166
2024-12-28,84.5,85.53,84.5,84.99,12860194
2024-12-29,84.99,85.79,84.77,85.5,12802622
2024-12-30,85.03,85.76,84.34,84.47,15740732
2024-12-31,84.53,84.78,83.942,84.25,17370602
2025-01-01,84.82,84.85,83.66,84.08,25278121
2025-01-02,86.23,88.29,85.91,86.6,36340856
2025-01-03,86.6,87.2,85.91,87.18,18183193
2025-01-04,87.45,88.64,86.93,88.39,18729222
2025-01-05,89.41,90.91,88.93,90.44,23990645
2025-01-06,90.5,90.95,89.06,89.5,25078633
2025-01-07,89.89,91.88,89.84,91.31,16657022
2025-01-08,92.0,92.25,91.31,91.88,14358861
2025-01-09,92.26,92.64,91.82,92.5,11041178
2025-01-10,92.82,92.9887,91.95,92.64,17172953
2025-01-11,92.78,93.59,92.26,93.51,17775226
2025-01-12,93.45,94.515,93.05,94.45,17312575
2025-01-13,94.89,95.6,94.34,95.3,21932325
2025-01-14,95.54,96.18,95.33,95.7,18803499
2025-01-15,95.66,95.94,93.602,93.83,20931082
2025-01-16,94.05,95.24,93.77,94.55,13164487
2025-01-17,94.54,95.69,94.5,94.96,19682085
2025-01-18,95.68,95.715,94.09,94.09,14298626
2025-01-19,93.8,94.68,93.04,94.25,11495854
2025-01-20,94.42,95.705,94.1048,94.87,16741989
2025-01-21,95.14,95.49,94.32,95.42,23560821
2025-01-22,95.34,95.895,93.1304,93.55,24665600
2025-01-23,94.48,94.565,93.36,93.4,16606501
2025-01-24,93.01,93.7486,91.63,92.24,49350586
2025-01-25,91.5,91.5,88.91,90.35,26205379
2025-01-26,90.37,92.68,90.35,92.68,8992427
2025-01-27,92.54,92.875,92.17,92.79,10997611
2025-01-28,92.13,92.35,91.03,91.66,11384359
2025-01-29,90.73,91.07,90.13,90.57,9790196
2025-01-30,90.57,90.94,90.055,90.35,11267652
2025-01-31,89.98,90.6,89.52,90.0,14820438
2025-02-01,90.15,91.3,90.14,90.78,10834630
2025-02-02,90.83,92.47,90.67,91.43,14519858
2025-02-03,91.7,91.94,90.45,90.81,11238044
2025-02-04,91.11,91.845,90.82,91.8,13453627
2025-02-05,92.49,93.575,92.2,93.0,18140864
2025-02-06,92.12,92.43,91.1,91.53,18617077
2025-02-07,91.86,91.98,90.565,90.79,13549159
2025-02-08,91.065,91.725,90.81,91.34,17348174
2025-02-09,91.5,91.72,90.12,91.3,13267723
2025-02-10,92.07,92.26,91.05,91.94,15868213
2025-02-11,92.48,94.24,92.31,93.08,23247451
2025-02-12,93.77,94.0,92.52,93.23,15567057
2025-02-13,92.96,93.81,92.32,93.81,14198438
2025-02-14,93.54,95.01,93.455,94.76,14973773
2025-02-15,95.9,97.46,94.82,97.4,18880614
2025-02-16,97.23,97.84,96.7251,97.29,14641621
2025-02-17,97.425,98.17,97.22,97.5,11261444
2025-02-18,97.69,98.93,97.42,98.65,11012220
2025-02-19,99.0,99.0,97.7,98.16,16413893
2025-02-20,96.77,99.79,96.47,99.54,20484152
2025-02-21,99.97,100.95,99.69,100.77,15201194
2025-02-22,100.65,102.58,100.54,102.46,15926717
2025-02-23,102.53,103.02,101.94,102.85,13088467
2025-02-24,103.0,103.11,101.11,101.15,12451072
2025-02-25,101.95,102.93,101.25,102.92,15274644
2025-02-26,102.62,102.85,101.85,102.47,11953632
2025-02-27,102.12,103.9,102.04,103.61,15162125
2025-02-28,104.0,105.24,103.53,105.05,12604413
2025-03-01,105.3,105.3,103.6,104.04,14109460
2025-03-02,103.72,103.99,102.51,103.78,18247314
2025-03-03,103.85,104.2,102.55,104.0,18507981
2025-03-04,98.78,100.12,96.6808,97.21,55450924
2025-03-05,96.53,96.85,94.115,94.78,35014806
2025-03-06,94.18,94.64,92.12,93.67,29755875
2025-03-07,94.35,97.91,94.24,97.69,29331188
2025-03-08,97.7,98.725,96.07,96.2,19069721
2025-03-09,95.9,98.0399,95.8092,96.79,16431469
2025-03-10,97.79,98.86,97.17,98.61,25451260
2025-03-11,97.98,99.49,96.825,97.59,18372193
2025-03-12,95.76,97.05,94.46,94.97,25227673
2025-03-13,94.97,96.39,94.75,95.98,17638956
2025-03-14,94.8,96.19,94.1833,94.64,19957804
2025-03-15,93.94,93.95,90.76,91.72,35913156
2025-03-16,89.76,90.23,86.61,87.82,35029553
2025-03-17,87.29,89.345,87.14,87.44,28687586
2025-03-18,87.88,89.1,84.88,85.2,33301609
2025-03-19,84.94,85.45,83.87,84.5,31507753
2025-03-20,84.96,85.37,84.06,85.35,35500647
2025-03-21,85.13,87.985,84.98,87.46,26297768
2025-03-22,87.44,87.675,85.5,85.59,17850930
2025-03-23,85.95,86.785,85.62,86.33,24555857
2025-03-24,85.81,87.08,85.515,85.81,18185506
2025-03-25,85.28,86.23,84.78,85.98,26797178
2025-03-26,86.47,87.65,86.35,87.49,17900732
2025-03-27,86.76,87.305,84.62,84.76,27908573
2025-03-28,85.19,85.56,84.57,85.21,27241495
2025-03-29,84.775,86.11,84.775,85.63,16782807
2025-03-30,85.43,85.83,84.7,85.15,14790567
2025-03-31,84.76,88.2,84.37,87.79,30269313
2025-04-01,87.535,89.11,87.37,88.83,22080252
