Date,Open,High,Low,Close,Volume
2024-12-23,119.08,119.21,118.01,118.96,10436744
2024-12-24,121.145,121.91,119.3,121.0,20807681
2024-12-25,121.3,121.5,119.61,121.15,12184431
2024-12-26,120.98,121.42,119.66,121.11,12835969
2024-12-27,121.0,121.62,120.07,120.47,11969663
2024-12-28,121.13,121.31,119.8365,120.35,11972802
2024-12-29,120.565,122.05,118.8,121.47,15127877
2024-12-30,121.66,121.88,120.33,120.56,13041845
2024-12-31,120.4,121.24,119.13,119.31,19051713
2025-01-01,119.79,120.62,119.27,120.31,14243701
2025-01-02,119.75,119.75,118.2,118.63,11584382
2025-01-03,119.17,120.47,118.64,120.32,11360932
2025-01-04,121.08,122.5547,120.27,121.93,14675422
2025-01-05,121.82,123.21,121.64,121.79,13323431
2025-01-06,121.43,121.88,119.61,119.97,26580295
2025-01-07,119.53,119.68,117.845,117.97,14827327
2025-01-08,118.09,118.73,117.43,117.66,11079122
2025-01-09,117.44,118.5,116.95,117.96,9426499
2025-01-10,118.05,118.2,116.82,117.85,12687317
2025-01-11,118.72,118.72,117.255,117.67,11756566
2025-01-12,117.5,117.55,113.8612,114.28,19520583
2025-01-13,114.71,115.62,114.06,114.78,15751204
2025-01-14,114.54,114.77,113.5,113.57,16171066
2025-01-15,114.64,114.94,112.745,112.9,17412565
2025-01-16,113.585,113.88,111.75,112.67,20990943
2025-01-17,112.0,112.39,111.11,111.92,32392238
2025-01-18,111.59,112.38,110.78,111.82,14543256
2025-01-19,111.899,111.899,110.25,110.84,13106079
2025-01-20,110.2,110.4,108.16,108.47,20256088
2025-01-21,107.235,108.17,106.7869,108.01,17553995
2025-01-22,107.57,108.83,106.31,106.42,17114542
2025-01-23,107.39,107.67,105.21,105.51,20565557
2025-01-24,105.45,106.135,104.84,105.87,40141153
2025-01-25,105.31,106.6,104.92,106.3,12285078
2025-01-26,106.52,107.19,105.7,106.4,7806997
2025-01-27,106.52,107.03,105.94,106.49,9653408
2025-01-28,106.3,107.99,105.77,106.48,11943906
2025-01-29,106.3,106.56,105.51,105.76,11080770
2025-01-30,106.17,107.9,105.78,107.57,12387756
2025-01-31,108.275,109.0,106.88,107.31,12685447
2025-02-01,108.0,108.49,107.46,107.86,14237885
2025-02-02,108.24,109.78,107.52,107.74,15623677
2025-02-03,108.94,110.06,108.28,108.75,12625890
2025-02-04,107.31,107.71,106.01,106.93,17858110
2025-02-05,108.7,110.1,105.78,106.54,19304499
2025-02-06,107.125,109.63,107.125,109.29,17073395
2025-02-07,108.79,109.76,107.83,109.72,11191175
2025-02-08,110.05,111.73,109.47,111.51,14521095
2025-02-09,111.19,111.69,110.55,111.32,10366585
2025-02-10,111.03,112.8651,110.82,112.32,19298504
2025-02-11,112.05,112.175,111.1305,111.47,20416286
2025-02-12,111.2,111.57,109.4,109.53,15718012
2025-02-13,110.31,111.1425,109.61,110.15,13726784
2025-02-14,110.24,110.71,108.41,108.66,14235885
2025-02-15,109.01,110.4506,108.39,110.17,15926670
2025-02-16,110.41,110.87,107.79,108.04,15862029
2025-02-17,107.71,108.78,107.47,108.67,12345523
2025-02-18,109.24,109.85,108.7,109.57,14346335
2025-02-19,110.55,110.55,106.095,106.83,20381446
2025-02-20,106.64,107.3,105.3225,107.09,14623197
2025-02-21,106.705,110.28,106.53,109.96,14835692
2025-02-22,109.74,110.01,109.1,109.88,13364387
2025-02-23,110.77,111.05,107.985,108.43,13411401
2025-02-24,108.78,109.7304,108.32,108.89,10051626
2025-02-25,110.005,111.03,109.875,110.97,12142197
2025-02-26,111.6,112.51,110.82,111.67,12713127
2025-02-27,110.05,110.2269,107.18,107.35,18244122
2025-02-28,107.15,108.41,106.52,108.13,15459952
2025-03-01,108.52,110.23,108.1,108.24,15733529
2025-03-02,108.63,110.99,108.32,110.14,20060298
2025-03-03,110.755,112.13,110.055,110.3,10964698
2025-03-04,110.57,112.42,109.95,112.0,16325803
2025-03-05,111.32,111.85,110.56,110.69,14709985
2025-03-06,110.925,111.86,110.32,111.27,13153471
2025-03-07,111.3,112.13,108.8902,109.73,14496964
2025-03-08,109.74,109.87,108.52,109.46,10446405
2025-03-09,110.01,111.29,109.28,110.15,15293173
2025-03-10,110.11,111.58,109.34,111.33,18821665
2025-03-11,111.7,112.1563,106.51,107.76,18706879
2025-03-12,106.36,108.96,105.94,107.54,19394905
2025-03-13,105.84,106.33,103.67,105.44,24822245
2025-03-14,105.43,108.11,104.36,107.62,17150233
2025-03-15,108.41,110.4,108.3,109.02,19624965
2025-03-16,109.28,112.57,109.08,111.8,22716116
2025-03-17,111.92,112.1,108.785,109.16,19904735
2025-03-18,109.05,110.13,108.42,109.13,14051500
2025-03-19,108.33,110.82,107.625,108.67,17767836
2025-03-20,108.94,112.18,108.31,111.9,15890063
2025-03-21,111.8,114.495,111.73,113.76,19908789
2025-03-22,114.09,114.54,112.57,113.64,15998713
2025-03-23,114.2,115.815,113.83,115.41,17315001
2025-03-24,114.72,116.47,114.2125,115.9,16230772
2025-03-25,115.5,115.99,114.35,115.5,41102795
2025-03-26,115.68,116.91,115.58,115.8,14207469
2025-03-27,116.43,117.635,115.9628,116.59,12081795
2025-03-28,117.68,119.18,117.68,118.27,14112756
2025-03-29,118.1,119.07,117.258,117.89,12740786
2025-03-30,118.1,118.46,117.235,117.73,10233433
2025-03-31,117.79,119.905,117.79,118.93,21652345
2025-04-01,119.22,119.28,117.93,119.04,12425434
