Filename,Prediction,Votes
AAPL_processed.csv,No,1
ADBE_processed.csv,No,1
AMZN_processed.csv,No,3
BAC_processed.csv,No,1
CRM_processed.csv,No,1
CSCO_processed.csv,No,1
DIS_processed.csv,No,1
GOOGL_processed.csv,No,3
HD_processed.csv,No,0
INTC_processed.csv,Yes,4
JNJ_processed.csv,No,1
JPM_processed.csv,No,1
KO_processed.csv,No,1
MA_processed.csv,No,1
META_processed.csv,No,1
MSFT_processed.csv,No,1
NFLX_processed.csv,No,1
NVDA_processed.csv,No,3
PFE_processed.csv,Yes,4
PG_processed.csv,No,1
results.csv,Invalid,-
TSLA_processed.csv,Yes,4
UNH_processed.csv,No,2
V_processed.csv,No,1
WMT_processed.csv,No,1
XOM_processed.csv,No,1
